file	verdict	ms	rc	status
AUFLIRA/why/smtlibea82d1.smt2	unknown	25034	0	unsat
AUFLIRA/nasa/fol_simplify/quaternion_ds1_symm_0511.fof.smt2	unsat	607	0	unsat
AUFLIRA/nasa/fol_simplify_arithmetics/thruster_inuse_0068.fof.smt2	unknown	6715	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/gauss_array_0490.fof.smt2	unknown	1510	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/gauss_init_1011.fof.smt2	unsat	709	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_inuse_0221.fof.smt2	unknown	909	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_symm_1077.fof.smt2	unsat	109	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_symm_2370.fof.smt2	unsat	408	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_init_0027.fof.smt2	unsat	109	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_inuse_0161.fof.smt2	unsat	310	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_inuse_1368.fof.smt2	unsat	310	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_0165.fof.smt2	unsat	110	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_1372.fof.smt2	unsat	209	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_2608.fof.smt2	unsat	309	0	unsat
AUFLIRA/nasa/fol_simplify_structure_forall/thruster_init_0614.fof.smt2	unsat	310	0	unsat
AUFLIRA/nasa/fol_simplify_structure_prop/gauss_init_0333.fof.smt2	unsat	110	0	unsat
AUFLIRA/why/smtlib0e43fc.smt2	unsat	10119	0	unsat
AUFLIRA/why/smtlibffdfd3.smt2	unsat	609	0	unsat
AUFLIRA/nasa/fol_simplify/quaternion_ds1_symm_0611.fof.smt2	unsat	508	0	unsat
AUFLIRA/nasa/fol_simplify_array/thruster_inuse_0026.fof.smt2	unsat	208	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/gauss_array_0591.fof.smt2	unsat	109	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/gauss_init_1111.fof.smt2	unsat	411	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_inuse_0322.fof.smt2	unknown	810	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_symm_1197.fof.smt2	unsat	109	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_symm_2470.fof.smt2	unsat	409	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_init_0128.fof.smt2	unsat	309	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_inuse_0261.fof.smt2	unsat	308	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_inuse_1468.fof.smt2	unsat	309	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_0266.fof.smt2	unsat	108	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_1477.fof.smt2	unsat	308	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_2709.fof.smt2	unsat	309	0	unsat
AUFLIRA/nasa/fol_simplify_structure_forall/thruster_init_0785.fof.smt2	unsat	209	0	unsat
AUFLIRA/nasa/fol_simplify_structure_prop/quaternion_ds1_init_0025.fof.smt2	unsat	108	0	unsat
AUFLIRA/why/smtlib218dfb.smt2	unsat	309	0	unsat
AUFLIRA/nasa/fol_simplify/quaternion_ds1_symm_0712.fof.smt2	unsat	409	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/cl5_nebula_init_0015.fof.smt2	unknown	12717	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0005.fof.smt2	unknown	19929	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/gauss_init_1212.fof.smt2	unsat	110	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_inuse_0423.fof.smt2	unknown	4914	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_symm_1353.fof.smt2	unsat	211	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_symm_2571.fof.smt2	unsat	410	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_init_0262.fof.smt2	unsat	110	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_inuse_0362.fof.smt2	unsat	311	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_inuse_1569.fof.smt2	unsat	411	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_0366.fof.smt2	unsat	111	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_1585.fof.smt2	unsat	210	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_2810.fof.smt2	unsat	410	0	unsat
AUFLIRA/nasa/fol_simplify_structure_forall/thruster_inuse_0057.fof.smt2	unsat	111	0	unsat
AUFLIRA/nasa/fol_simplify_structure_prop/quaternion_ds1_inuse_0013.fof.smt2	unknown	811	0	unsat
AUFLIRA/why/smtlib36b23a.smt2	unsat	811	0	unsat
AUFLIRA/nasa/fol_simplify/quaternion_ds1_symm_0813.fof.smt2	unsat	409	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/cl5_nebula_init_0115.fof.smt2	unknown	16321	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0106.fof.smt2	unsat	110	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/gauss_init_1312.fof.smt2	unsat	109	0	unsat
