# corpus prefix stripped from every path: /nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/
# F	<file>	<verdict>	<give-up detail>
# C	<file>	<repeat count>	<DTRES-CENSUS line>
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_348_15_precondition2___00.smt2	4	DTRES-CENSUS narrow_sites=37 wide_sites=37 narrow_pairs=78 wide_pairs=78 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=43 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=14 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_348_15_precondition2___00.smt2	4	DTRES-CENSUS narrow_sites=8 wide_sites=8 narrow_pairs=6 wide_pairs=6 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=10 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=3 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_348_15_precondition2___00.smt2	2	DTRES-CENSUS narrow_sites=93 wide_sites=93 narrow_pairs=844 wide_pairs=844 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=93 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=46 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_46_29_index_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_46_29_index_check___00.smt2	3	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_46_29_index_check___00.smt2	8	DTRES-CENSUS narrow_sites=11 wide_sites=11 narrow_pairs=4 wide_pairs=4 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=14 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=2 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_46_29_index_check___00.smt2	2	DTRES-CENSUS narrow_sites=145 wide_sites=145 narrow_pairs=2627 wide_pairs=2627 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=88 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=115 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_46_29_index_check___00.smt2	4	DTRES-CENSUS narrow_sites=31 wide_sites=31 narrow_pairs=135 wide_pairs=135 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=25 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=20 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_46_29_index_check___00.smt2	4	DTRES-CENSUS narrow_sites=53 wide_sites=53 narrow_pairs=410 wide_pairs=410 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=46 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=32 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_46_29_index_check___00.smt2	2	DTRES-CENSUS narrow_sites=67 wide_sites=67 narrow_pairs=633 wide_pairs=633 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=59 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=40 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_62_19_precondition3___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.ads_12_6_postcondition3___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.ads_12_6_postcondition3___00.smt2	1	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.ads_43_60_precondition___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.ads_43_60_precondition___00.smt2	1	DTRES-CENSUS narrow_sites=4 wide_sites=4 narrow_pairs=2 wide_pairs=2 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=4 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	6	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	28	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=2 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	3	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=1 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	1	DTRES-CENSUS narrow_sites=10 wide_sites=10 narrow_pairs=9 wide_pairs=9 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=4 sym_inexact=0 ctor_exact=15 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	2	DTRES-CENSUS narrow_sites=103 wide_sites=103 narrow_pairs=1173 wide_pairs=1173 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=42 sym_inexact=0 ctor_exact=46 ctor_inexact=0 apply_exact=70 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	2	DTRES-CENSUS narrow_sites=16 wide_sites=16 narrow_pairs=19 wide_pairs=19 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=10 sym_inexact=0 ctor_exact=21 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	2	DTRES-CENSUS narrow_sites=16 wide_sites=16 narrow_pairs=20 wide_pairs=20 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=4 sym_inexact=0 ctor_exact=29 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	9	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=4 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	1	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	2	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=4 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	4	DTRES-CENSUS narrow_sites=26 wide_sites=26 narrow_pairs=83 wide_pairs=83 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=20 sym_inexact=0 ctor_exact=20 ctor_inexact=0 apply_exact=4 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	4	DTRES-CENSUS narrow_sites=4 wide_sites=4 narrow_pairs=1 wide_pairs=1 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=10 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	2	DTRES-CENSUS narrow_sites=56 wide_sites=56 narrow_pairs=308 wide_pairs=308 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=32 sym_inexact=0 ctor_exact=40 ctor_inexact=0 apply_exact=20 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	32	DTRES-CENSUS narrow_sites=6 wide_sites=6 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=13 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	35	DTRES-CENSUS narrow_sites=7 wide_sites=7 narrow_pairs=1 wide_pairs=1 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=15 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	1	DTRES-CENSUS narrow_sites=9 wide_sites=9 narrow_pairs=7 wide_pairs=7 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=10 sym_inexact=0 ctor_exact=5 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2	2	DTRES-CENSUS narrow_sites=100 wide_sites=100 narrow_pairs=1356 wide_pairs=1356 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=46 sym_inexact=0 ctor_exact=22 ctor_inexact=0 apply_exact=58 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2	8	DTRES-CENSUS narrow_sites=18 wide_sites=18 narrow_pairs=26 wide_pairs=26 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=10 ctor_inexact=0 apply_exact=15 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=20 wide_sites=20 narrow_pairs=37 wide_pairs=37 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=10 ctor_inexact=0 apply_exact=17 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=21 wide_sites=21 narrow_pairs=67 wide_pairs=67 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=10 sym_inexact=0 ctor_exact=4 ctor_inexact=0 apply_exact=7 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2	2	DTRES-CENSUS narrow_sites=54 wide_sites=54 narrow_pairs=356 wide_pairs=356 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=24 sym_inexact=0 ctor_exact=16 ctor_inexact=0 apply_exact=32 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_47_19_precondition3___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_54_16_precondition3___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2	2	DTRES-CENSUS narrow_sites=169 wide_sites=169 narrow_pairs=2788 wide_pairs=2788 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=90 sym_inexact=0 ctor_exact=28 ctor_inexact=0 apply_exact=111 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2	8	DTRES-CENSUS narrow_sites=29 wide_sites=29 narrow_pairs=50 wide_pairs=50 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=8 ctor_inexact=0 apply_exact=38 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=31 wide_sites=31 narrow_pairs=63 wide_pairs=63 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=10 ctor_inexact=0 apply_exact=38 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=48 wide_sites=48 narrow_pairs=315 wide_pairs=315 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=40 sym_inexact=0 ctor_exact=5 ctor_inexact=0 apply_exact=9 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_59_48_precondition___00.smt2	2	DTRES-CENSUS narrow_sites=92 wide_sites=92 narrow_pairs=707 wide_pairs=707 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=50 sym_inexact=0 ctor_exact=21 ctor_inexact=0 apply_exact=56 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_69_36_precondition2___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_69_36_precondition2___00.smt2	2	DTRES-CENSUS narrow_sites=122 wide_sites=122 narrow_pairs=2154 wide_pairs=2154 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=44 sym_inexact=0 ctor_exact=35 ctor_inexact=0 apply_exact=74 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_69_36_precondition2___00.smt2	8	DTRES-CENSUS narrow_sites=15 wide_sites=15 narrow_pairs=15 wide_pairs=15 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=8 ctor_inexact=0 apply_exact=13 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_69_36_precondition2___00.smt2	4	DTRES-CENSUS narrow_sites=18 wide_sites=18 narrow_pairs=30 wide_pairs=30 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=9 ctor_inexact=0 apply_exact=15 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_69_36_precondition2___00.smt2	4	DTRES-CENSUS narrow_sites=18 wide_sites=18 narrow_pairs=48 wide_pairs=48 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=8 sym_inexact=0 ctor_exact=4 ctor_inexact=0 apply_exact=6 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_69_36_precondition2___00.smt2	2	DTRES-CENSUS narrow_sites=64 wide_sites=64 narrow_pairs=615 wide_pairs=615 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=22 sym_inexact=0 ctor_exact=25 ctor_inexact=0 apply_exact=40 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_75_44_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_75_44_precondition___00.smt2	2	DTRES-CENSUS narrow_sites=126 wide_sites=126 narrow_pairs=2584 wide_pairs=2584 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=40 sym_inexact=0 ctor_exact=50 ctor_inexact=0 apply_exact=83 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_75_44_precondition___00.smt2	2	DTRES-CENSUS narrow_sites=223 wide_sites=223 narrow_pairs=7516 wide_pairs=7516 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=68 sym_inexact=0 ctor_exact=68 ctor_inexact=0 apply_exact=142 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_75_44_precondition___00.smt2	8	DTRES-CENSUS narrow_sites=26 wide_sites=26 narrow_pairs=49 wide_pairs=49 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=14 ctor_inexact=0 apply_exact=22 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_75_44_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=28 wide_sites=28 narrow_pairs=126 wide_pairs=126 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=12 sym_inexact=0 ctor_exact=5 ctor_inexact=0 apply_exact=11 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_75_44_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=30 wide_sites=30 narrow_pairs=79 wide_pairs=79 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=14 ctor_inexact=0 apply_exact=26 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_83_16_precondition2___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	15	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	79	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=2 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	2	DTRES-CENSUS narrow_sites=139 wide_sites=139 narrow_pairs=2081 wide_pairs=2081 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=68 sym_inexact=0 ctor_exact=70 ctor_inexact=0 apply_exact=72 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	4	DTRES-CENSUS narrow_sites=17 wide_sites=17 narrow_pairs=27 wide_pairs=27 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=27 ctor_inexact=0 apply_exact=4 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	23	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=4 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	4	DTRES-CENSUS narrow_sites=27 wide_sites=27 narrow_pairs=97 wide_pairs=97 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=18 sym_inexact=0 ctor_exact=21 ctor_inexact=0 apply_exact=8 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	64	DTRES-CENSUS narrow_sites=3 wide_sites=3 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=5 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	70	DTRES-CENSUS narrow_sites=4 wide_sites=4 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=7 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
