division	file	wall_ms	verdict	decided_by	bound_by	last	bound_ms	trace_total_ms	attempts	log_path
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_wp_seq.set_char_quoting.il.wp.smt2	24226	sat	array-fast-path	abv-online-cdclt	array-fast-path	24008	24149	5	/home/mjbommar/route-attribution/logs/QF_ABV.66.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_wp_test.close_stdout_set_file_name.il.wp.smt2	2611	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	2530	2531	4	/home/mjbommar/route-attribution/logs/QF_ABV.67.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_.set_quoting_style.il.dwp.smt2	209	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	138	139	4	/home/mjbommar/route-attribution/logs/QF_ABV.68.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_env.set_char_quoting.il.dwp.smt2	25128	unsolved	NA	NA	NA	NA	NA	NA	/home/mjbommar/route-attribution/logs/QF_ABV.69.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_mknod.get_quoting_style.il.dwp.smt2	208	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	153	155	4	/home/mjbommar/route-attribution/logs/QF_ABV.70.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	10018	sat	array-fast-path	array-fast-path	array-fast-path	9876	9886	5	/home/mjbommar/route-attribution/logs/QF_ABV.71.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_tac.peek_token_bracket.il.dwp.smt2	1209	sat	array-fast-path	array-fast-path	array-fast-path	1105	1132	5	/home/mjbommar/route-attribution/logs/QF_ABV.72.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.rev_xstrcoll_mtime.il.dwp.smt2	3611	sat	array-fast-path	array-fast-path	array-fast-path	3506	3512	5	/home/mjbommar/route-attribution/logs/QF_ABV.73.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_flanagansaxe_csplit.search_cur_bkref_entry.il.flanagansaxe.smt2	909	sat	array-fast-path	array-fast-path	array-fast-path	861	870	5	/home/mjbommar/route-attribution/logs/QF_ABV.74.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_flanagansaxe_id.get_quoting_style.il.flanagansaxe.smt2	108	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	1	3	4	/home/mjbommar/route-attribution/logs/QF_ABV.75.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_flanagansaxe_paste.set_quoting_style.il.flanagansaxe.smt2	108	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	1	3	4	/home/mjbommar/route-attribution/logs/QF_ABV.76.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_flanagansaxe_shuf.isaac_mix.il.flanagansaxe.smt2	2810	sat	array-fast-path	array-fast-path	array-fast-path	2729	2766	5	/home/mjbommar/route-attribution/logs/QF_ABV.77.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_flanagansaxe_uname.get_quoting_style.il.flanagansaxe.smt2	107	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	1	4	4	/home/mjbommar/route-attribution/logs/QF_ABV.78.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_fse-bfs_expr.optimize_subexps.il.fse-bfs.smt2	107	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	39	46	4	/home/mjbommar/route-attribution/logs/QF_ABV.79.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_wp_date.yydestruct.il.wp.smt2	108	sat	qf-bv	dl-online	qf-bv	0	0	4	/home/mjbommar/route-attribution/logs/QF_ABV.80.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_wp_ptx.search_cur_bkref_entry.il.wp.smt2	108	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	8	11	4	/home/mjbommar/route-attribution/logs/QF_ABV.81.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_noof_functions_wp_yes.set_char_quoting.il.wp.smt2	308	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	221	228	4	/home/mjbommar/route-attribution/logs/QF_ABV.82.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_true_functions_flanagansaxe_cat.next_line_num.il.flanagansaxe.smt2	24734	sat	array-fast-path	abv-online-cdclt	array-fast-path	24003	24655	5	/home/mjbommar/route-attribution/logs/QF_ABV.83.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_true_functions_fse-bfs_chgrp.i_ring_push.il.fse-bfs.smt2	108	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	5	6	4	/home/mjbommar/route-attribution/logs/QF_ABV.84.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_true_functions_wp_md5sum.md5_process_block.il.wp.smt2	20730	sat	array-fast-path	array-fast-path	array-fast-path	20297	20634	5	/home/mjbommar/route-attribution/logs/QF_ABV.85.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/ecc/com.galois.ecc.P384ECC64.ec_mul_aux1.short.smt2	208	unsat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	68	106	4	/home/mjbommar/route-attribution/logs/QF_ABV.86.log
