file	rc	ms	verdict	decided_by	bound_by	total_ms	attempts	online_probe	lra_entries	lra_rounds	atoms	cube_decisions	cube_flips	cube_identical	cube_collect_ms	cube_fm_ms	cube_simplex_ms	cube_simplex_calls	cube_matrices	cold_builds	cold_build_ms	cold_ms	cold_pivots	capture
QF_LRA/meti-tarski/Chua/1/VC2/L/Chua-1-VC2-L-chunk-0056.smt2	0	107	sat	dl-online	dl-online	0	3	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_meti-tarski_Chua_1_VC2_L_Chua-1-VC2-L-chunk-0056.smt2.out
QF_LRA/spider_benchmarks/fs_not_sc_seen.base.smt2	0	1408	unsat	nra	nra	1298	6	took	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_spider_benchmarks_fs_not_sc_seen.base.smt2.out
QF_LRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0034.smt2	0	107	sat	nra	nra	1	5	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_meti-tarski_atan_problem_2_weak2_atan-problem-2-weak2-chunk-0034.smt2.out
QF_LRA/sal/windowreal/windowreal-no_t_deadlock-1.smt2	0	107	unsat	dl-online	milp	2	4	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_sal_windowreal_windowreal-no_t_deadlock-1.smt2.out
QF_LRA/LassoRanker/SV-COMP/aviad_true-termination.c_Iteration1_Loop_4-nestedTemplate.smt2	0	25130	unknown																					./captures-00/QF_LRA_LassoRanker_SV-COMP_aviad_true-termination.c_Iteration1_Loop_4-nestedTemplate.smt2.out
QF_LRA/sc/sc-11.base.cvc.smt2	0	24029	unknown	none	nra	24013	15	model-did-not-replay	1	1205	770	1204	3409	0	543	0	2405	1204	0	1204	131	2228	247488	./captures-00/QF_LRA_sc_sc-11.base.cvc.smt2.out
QF_LRA/sal/tgc/tgc_io-safe-20.smt2	0	5611	unknown	nra	nra	5570	18	took	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_sal_tgc_tgc_io-safe-20.smt2.out
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_06.i_3_2_2.bpl_7.smt2	0	24029	unknown	none	nra	24005	15	model-did-not-replay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_2017-Heizmann-UltimateInvariantSynthesis__standard_two_index_06.i_3_2_2.bpl_7.smt2.out
QF_LRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0008.smt2	0	106	sat	nra	nra	0	5	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_meti-tarski_sqrt_1mcosq_7_sqrt-1mcosq-7-chunk-0008.smt2.out
QF_LRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0006.smt2	0	106	sat	nra	nra	0	5	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_meti-tarski_sin_problem_7_weak2_sin-problem-7-weak2-chunk-0006.smt2.out
