mode	case	expected	verdict	class	detail
parse-only	perf/args-before-unfold	accept	accept	ok	-
parse-only	perf/beta-ladder	accept	accept	ok	-
parse-only	perf/church-numerals	accept	accept	ok	-
parse-only	perf/discarded-argument	accept	accept	ok	-
parse-only	perf/discarded-argument-match	accept	accept	ok	-
parse-only	perf/folded-constant-first	accept	accept	ok	-
parse-only	perf/folded-constant-last	accept	accept	ok	-
parse-only	perf/grind-ring-5	accept	accept	ok	-
parse-only	perf/identical-nesting	accept	accept	ok	-
parse-only	perf/irrelevance-before-evaluation	accept	accept	ok	-
parse-only	perf/let-ladder	accept	accept	ok	-
parse-only	perf/refute-cheap-first	reject	accept	ok	-
parse-only	perf/refute-cheap-last	reject	accept	ok	-
parse-only	perf/repeated-subproblem	accept	accept	ok	-
parse-only	perf/shared-subterm	accept	accept	ok	-
parse-only	perf/shift-cascade	accept	accept	ok	-
parse-only	perf/unroll-versus-evaluate	accept	accept	ok	-
parse-only	tutorial/001_basicDef	accept	accept	ok	-
parse-only	tutorial/002_badDef	reject	accept	ok	-
parse-only	tutorial/003_arrowType	accept	accept	ok	-
parse-only	tutorial/004_dependentType	accept	accept	ok	-
parse-only	tutorial/005_constType	accept	accept	ok	-
parse-only	tutorial/006_betaReduction	accept	accept	ok	-
parse-only	tutorial/007_betaReduction2	accept	accept	ok	-
parse-only	tutorial/008_forallSortWhnf	accept	accept	ok	-
parse-only	tutorial/009_forallSortBad	reject	accept	ok	-
parse-only	tutorial/010_nonTypeType	reject	accept	ok	-
parse-only	tutorial/011_nonTypeAxiom	reject	accept	ok	-
parse-only	tutorial/012_nonPropThm	reject	accept	ok	-
parse-only	tutorial/013_thmProof	accept	accept	ok	-
parse-only	tutorial/014_selfProof	reject	accept	ok	-
parse-only	tutorial/015_levelComp1	accept	accept	ok	-
parse-only	tutorial/016_levelComp2	accept	accept	ok	-
parse-only	tutorial/017_levelComp3	accept	accept	ok	-
parse-only	tutorial/018_levelParams	accept	accept	ok	-
parse-only	tutorial/019_tut06_bad01	reject	accept	ok	-
parse-only	tutorial/020_levelComp4	accept	accept	ok	-
parse-only	tutorial/021_levelComp5	accept	accept	ok	-
parse-only	tutorial/022_imax1	accept	accept	ok	-
parse-only	tutorial/023_imax2	accept	accept	ok	-
