file	rep	arm	verdict	rc	wall_ms	giveup	lever_refused
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	5	n65536	unknown	0	25031	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	5	bothmid	unknown	0	25030	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	5	base	sat	0	909	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	5	a4096	unsat	0	609	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	5	n65536	unknown	0	25031	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	5	bothmid	unknown	0	25032	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	5	base	unsat	0	709	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	6	n65536	sat	0	7515	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	6	bothmid	unknown	0	24130	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] lazy-extensionality scalar backend declined (round=39, sites=1446, array_eq_atoms=10, row_lemmas=286, cong_lemmas=31, diff_skolems=3, working_assertions=403, last_candidate_replay=false(assertion_ordinal=0, term=2128, failed_conjunct_ordinal=0, failed_conjunct_term=2128, select_repair_candidates=0, select_repair_array_changes=0, select_repair_symbol_changes=0, branch_repair_candidates=0, branch_repair_symbol_changes=0, scalar_repair_candidates=0, scalar_support_candidates=0, scalar_stabilized_trials=0, scalar_rejected_worse_trials=0, scalar_equal_support_repairs=0, scalar_repair_symbol_changes=0, projection_repair_changes=0), failed_eq_lhs_term=3, failed_eq_rhs_term=2127, failed_eq_lhs_value=#x1, failed_eq_rhs_value=#x0): native CDCL core timeout	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	6	base	sat	0	7015	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	6	a4096	sat	0	22831	none	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	6	n65536	sat	0	5013	none	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	6	bothmid	sat	0	23029	none	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	6	base	sat	0	5014	none	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	6	a4096	sat	0	23229	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	6	n65536	unknown	0	25028	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	6	bothmid	unknown	0	25031	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	6	base	sat	0	610	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	6	a4096	sat	0	611	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	6	n65536	unknown	0	25032	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	6	bothmid	unknown	0	25031	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	6	base	unsat	0	410	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	6	a4096	unsat	0	409	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	7	bothmid	sat	0	22229	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	7	base	sat	0	4213	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	7	a4096	sat	0	22228	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	7	n65536	sat	0	4213	none	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	7	bothmid	sat	0	23029	none	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	7	base	sat	0	5014	none	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	7	a4096	sat	0	23027	none	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	7	n65536	sat	0	5015	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	7	bothmid	unknown	0	25032	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	7	base	sat	0	611	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	7	a4096	sat	0	611	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	7	n65536	unknown	0	25032	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	7	bothmid	unknown	0	25032	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	7	base	unsat	0	409	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	7	a4096	unsat	0	410	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	7	n65536	unknown	0	25033	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	8	base	sat	0	4314	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	8	a4096	sat	0	22228	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	8	n65536	sat	0	4214	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	8	bothmid	sat	0	22227	none	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	8	base	sat	0	5013	none	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	8	a4096	sat	0	23129	none	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	8	n65536	sat	0	5014	none	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	8	bothmid	sat	0	23023	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	8	base	sat	0	611	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	8	a4096	sat	0	611	none	no
