file	base	base_ms	base_rc	nz	nz_ms	nz_rc	sp	sp_ms	sp_rc	both	both_ms	both_rc	first	status
QF_LRA/latendresse/ecoliFBAyicesTest-15875-16.smt2	unknown	24125	0	unknown	24126	0	unknown	24126	0	unknown	24127	0	sp	sat
QF_LRA/LassoRanker/CooperatingT2/fun4.t2.c_Iteration1_Lasso_4-pieceTemplate.smt2	unknown	24127	0	unknown	24126	0	unknown	24125	0	unknown	24127	0	both	sat
QF_LRA/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_4.lp.smt2	sat	3808	0	sat	4008	0	sat	4409	0	sat	4409	0	base	unknown
QF_LRA/uart/uart-33.induction.cvc.smt2	unknown	24127	0	unknown	24127	0	unknown	24127	0	unknown	24127	0	nz	sat
QF_LRA/uart/uart-35.base.cvc.smt2	unknown	24127	0	unknown	24126	0	unknown	24125	0	unknown	24126	0	sp	unsat
QF_LRA/sc/sc-17.induction3.cvc.smt2	unknown	24126	0	unknown	24126	0	unknown	24128	0	unknown	24127	0	both	sat
QF_LRA/tropical-matrix/constraint-1007893.smt2	unknown	24227	0	unknown	24126	0	unknown	24327	0	unknown	24327	0	base	unknown
QF_LRA/meti-tarski/Chua/1/VC2/L/Chua-1-VC2-L-chunk-0030.smt2	sat	104	0	sat	104	0	sat	104	0	sat	104	0	nz	sat
QF_LRA/LassoRanker/Ultimate/simple-scaled250.bpl_Iteration1_Lasso_4-nestedTemplate.smt2	unknown	24727	0	unknown	24627	0	unknown	24627	0	unknown	24727	0	sp	sat
QF_LRA/meti-tarski/cbrt/3/weak/cbrt-problem-3-weak-chunk-0046.smt2	sat	104	0	sat	105	0	sat	104	0	sat	104	0	both	sat
QF_LRA/DTP-Scheduling/constraints-tempo-matrix3x3.pddl.smt2	sat	105	0	sat	105	0	sat	104	0	sat	104	0	base	sat
QF_LRA/2019-ezsmt/blending/18.smt2	sat	405	0	sat	405	0	sat	405	0	sat	404	0	nz	unknown
QF_LRA/tta_startup/simple_startup_6nodes.abstract.induct.smt2	unknown	1706	0	unknown	1706	0	unknown	24026	0	unknown	24025	0	sp	unsat
QF_LRA/LassoRanker/CooperatingT2/bubbleSort.t2.c_Iteration3_Loop_4-pieceTemplate.smt2	unknown	24125	0	unknown	24127	0	unknown	24126	0	unknown	24127	0	both	sat
QF_LRA/meti-tarski/Chua/1/VC2/L/Chua-1-VC2-L-chunk-0005.smt2	sat	104	0	sat	105	0	sat	105	0	sat	105	0	base	sat
QF_LRA/sc/sc-12.induction.cvc.smt2	sat	9113	0	sat	9112	0	sat	103	0	sat	104	0	nz	sat
QF_LRA/meti-tarski/sin/problem/8/weak/sin-problem-8-weak-chunk-0030.smt2	sat	104	0	sat	105	0	sat	105	0	sat	103	0	sp	sat
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0046.smt2	unsat	104	0	unsat	105	0	unsat	105	0	unsat	104	0	both	unsat
QF_LRA/uart/uart-30.induction.cvc.smt2	unknown	24127	0	unknown	24126	0	unknown	24127	0	unknown	24126	0	base	sat
QF_LRA/LassoRanker/Ultimate/simple-scaled100.bpl_Iteration1_Lasso_5-phaseTemplate.smt2	unknown	25028	0	unknown	25028	0	unknown	25127	0	unknown	25127	0	nz	sat
QF_LRA/clock_synchro/clocksynchro_7clocks.main_invar.base.smt2	unsat	3107	0	unsat	3208	0	unsat	304	0	unsat	305	0	sp	unsat
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0069.smt2	sat	104	0	sat	105	0	sat	105	0	sat	105	0	both	sat
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0021.smt2	sat	104	0	sat	104	0	sat	105	0	sat	104	0	base	sat
QF_LRA/meti-tarski/sin/problem/8/weak/sin-problem-8-weak-chunk-0011.smt2	sat	105	0	sat	105	0	sat	104	0	sat	104	0	nz	sat
QF_LRA/meti-tarski/bottom-plate-mixer/bottom-plate-mixer-chunk-0013.smt2	sat	105	0	sat	104	0	sat	104	0	sat	105	0	sp	sat
QF_LRA/LassoRanker/Ultimate/simple-scaled100.bpl_Iteration1_Lasso_7-phaseTemplate.smt2	unknown	25127	0	unknown	25128	0	unknown	25125	0	unknown	25127	0	both	sat
QF_LRA/sc/sc-24.induction2.cvc.smt2	unknown	24025	0	unknown	24025	0	unknown	24026	0	unknown	24025	0	base	sat
QF_LRA/LassoRanker/CooperatingT2/hongyi1.t2.c_Iteration1_Loop_4-phaseTemplate.smt2	unknown	24427	0	unknown	24427	0	unknown	24527	0	unknown	24527	0	nz	sat
QF_LRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0035.smt2	sat	105	0	sat	104	0	sat	104	0	sat	104	0	sp	sat
QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration1_Loop_4-lexTemplate.smt2	unknown	24627	0	unknown	24627	0	unknown	24725	0	unknown	24627	0	both	sat
