file	axeyum	ax_s	ax_k	z3	z3_s	z3_k	cvc5	cvc5_s	cvc5_k	status
AUFBV/20210301-Alive2-partial-undef/sqlite3/884_sqlite3.smt2	unknown	25.03	ok	unknown	24.13	ok	unknown	0.31	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/897_sqlite3.smt2	unknown	24.53	ok	unknown	20.93	ok	unknown	0.11	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/906_sqlite3.smt2	unknown	24.23	ok	unknown	24.03	ok	unknown	1.11	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/915_sqlite3.smt2	unknown	24.13	ok	unsat	0.21	ok	unknown	0.31	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/922_sqlite3.smt2	unknown	25.03	ok	unknown	24.03	ok	unknown	0.41	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/930_sqlite3.smt2	unsat	8.42	ok	unknown	23.33	ok	unknown	0.11	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/942_sqlite3.smt2	unknown	23.73	ok	unknown	24.03	ok	unknown	0.31	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/950_sqlite3.smt2	unknown	25.03	ok	unknown	24.13	ok	unknown	10.72	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/959_sqlite3.smt2	unknown	25.03	ok	unknown	24.43	ok	unknown	2.61	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/967_sqlite3.smt2	unknown	25.03	ok	unknown	24.13	ok	unknown	0.51	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/975_sqlite3.smt2	unknown	25.03	ok	unknown	24.13	ok	unknown	1.21	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/987_sqlite3.smt2	unknown	23.03	ok	unknown	24.13	ok	unknown	2.81	ok	unknown
AUFBV/20210301-Alive2-partial-undef/sqlite3/996_sqlite3.smt2	unknown	24.13	ok	unknown	24.13	ok	unknown	0.11	ok	unknown
AUFBV/20210301-Alive2/bzip2/006_bzip2.smt2	unknown	25.23	ok	unknown	10.82	ok	unknown	1.41	ok	unknown
AUFBV/20210301-Alive2/bzip2/017_bzip2.smt2	unknown	15.72	ok	unsat	1.71	ok	unknown	0.51	ok	unknown
AUFBV/20210301-Alive2/gcc/024_gcc.smt2	unknown	0.31	ok	unknown	24.13	ok	unsat	2.71	ok	unknown
AUFBV/20210301-Alive2/gcc/036_gcc.smt2	unknown	25.13	ok	unknown	24.13	ok	unsat	9.51	ok	unknown
AUFBV/20210301-Alive2/gcc/045_gcc.smt2	unknown	0.11	ok	unsat	0.21	ok	unknown	0.21	ok	unknown
AUFBV/20210301-Alive2/gcc/053_gcc.smt2	unknown	25.13	ok	unknown	24.03	ok	unknown	27.14	rc134	unknown
AUFBV/20210301-Alive2/gcc/063_gcc.smt2	unknown	25.13	ok	unknown	24.13	ok	unknown	26.32	rc134	unknown
AUFBV/20210301-Alive2/gcc/074_gcc.smt2	unknown	24.13	ok	unknown	24.03	ok	unknown	7.31	ok	unknown
AUFBV/20210301-Alive2/gcc/081_gcc.smt2	unknown	25.03	ok	unknown	24.13	ok	unknown	0.61	ok	unknown
AUFBV/20210301-Alive2/gcc/091_gcc.smt2	unknown	1.61	ok	unknown	24.03	ok	unknown	26.22	rc134	unknown
AUFBV/20210301-Alive2/gcc/102_gcc.smt2	unknown	0.61	ok	sat	0.11	ok	unknown	0.11	ok	unknown
AUFBV/20210301-Alive2/gcc/111_gcc.smt2	unknown	4.91	ok	unknown	24.03	ok	unsat	0.31	ok	unknown
AUFBV/20210301-Alive2/gcc/120_gcc.smt2	unknown	19.62	ok	sat	0.21	ok	unknown	0.21	ok	unknown
AUFBV/20210301-Alive2/gcc/135_gcc.smt2	unknown	0.71	ok	unknown	24.03	ok	unsat	0.71	ok	unknown
AUFBV/20210301-Alive2/gcc/142_gcc.smt2	unknown	11.82	ok	unknown	24.03	ok	unknown	2.51	ok	unknown
AUFBV/20210301-Alive2/gcc/153_gcc.smt2	unknown	14.12	ok	unknown	24.13	ok	unsat	6.21	ok	unknown
AUFBV/20210301-Alive2/gcc/163_gcc.smt2	unknown	15.82	ok	unknown	24.03	ok	unknown	26.22	rc134	unknown
AUFBV/20210301-Alive2/gcc/172_gcc.smt2	unknown	24.13	ok	unknown	24.13	ok	unknown	1.81	ok	unknown
AUFBV/20210301-Alive2/gcc/180_gcc.smt2	unknown	25.83	ok	unknown	24.13	ok	unknown	26.32	rc134	unknown
AUFBV/20210301-Alive2/gcc/188_gcc.smt2	unknown	25.13	ok	unknown	24.03	ok	unknown	5.21	ok	unknown
AUFBV/20210301-Alive2/gcc/201_gcc.smt2	unknown	25.23	ok	unknown	24.13	ok	unknown	26.33	rc134	unknown
AUFBV/20210301-Alive2/gcc/209_gcc.smt2	unknown	24.13	ok	unknown	24.13	ok	unknown	26.22	rc134	unknown
AUFBV/20210301-Alive2/gcc/216_gcc.smt2	unknown	8.12	ok	unknown	24.13	ok	unknown	26.24	rc134	unknown
AUFBV/20210301-Alive2/gcc/227_gcc.smt2	sat	12.22	ok	sat	0.11	ok	unknown	0.11	ok	unknown
AUFBV/20210301-Alive2/gcc/241_gcc.smt2	unknown	21.43	ok	unknown	24.03	ok	unknown	5.71	ok	unknown
AUFBV/20210301-Alive2/gzip/260_gzip.smt2	unknown	9.32	ok	unsat	3.51	ok	unsat	0.71	ok	unknown
AUFBV/20210301-Alive2/oggenc/286_oggenc.smt2	unknown	5.92	ok	unknown	24.14	ok	unsat	4.91	ok	unknown
AUFBV/20210301-Alive2/oggenc/306_oggenc.smt2	unknown	25.03	ok	unknown	24.13	ok	unknown	26.33	rc134	unknown
AUFBV/20210301-Alive2/oggenc/314_oggenc.smt2	unknown	25.03	ok	unknown	24.43	ok	unknown	26.32	rc134	unknown
AUFBV/20210301-Alive2/oggenc/329_oggenc.smt2	unknown	2.81	ok	unknown	13.32	ok	unknown	26.22	rc134	unknown
AUFBV/20210301-Alive2/oggenc/337_oggenc.smt2	unknown	25.03	ok	unknown	24.03	ok	unknown	5.01	ok	unknown
AUFBV/20210301-Alive2/oggenc/349_oggenc.smt2	unknown	3.31	ok	unknown	24.13	ok	unknown	0.11	ok	unknown
AUFBV/20210301-Alive2/oggenc/364_oggenc.smt2	unknown	0.11	ok	unknown	24.13	ok	unknown	27.04	rc134	unknown
AUFBV/20210301-Alive2/oggenc/377_oggenc.smt2	unknown	25.03	ok	unknown	24.13	ok	unknown	5.31	ok	unknown
AUFBV/20210301-Alive2/oggenc/387_oggenc.smt2	unknown	25.03	ok	unknown	24.12	ok	unknown	0.41	ok	unknown
AUFBV/20210301-Alive2/oggenc/405_oggenc.smt2	unknown	24.83	ok	unknown	24.13	ok	unknown	0.41	ok	unknown
AUFBV/20210301-Alive2/oggenc/417_oggenc.smt2	unknown	0.91	ok	unknown	24.13	ok	unknown	27.92	rc134	unknown
AUFBV/20210301-Alive2/oggenc/427_oggenc.smt2	unknown	3.51	ok	unknown	24.13	ok	unsat	1.31	ok	unknown
AUFBV/20210301-Alive2/oggenc/441_oggenc.smt2	unknown	0.91	ok	unsat	12.82	ok	unknown	26.42	rc134	unknown
AUFBV/20210301-Alive2/oggenc/454_oggenc.smt2	unknown	24.13	ok	unknown	24.13	ok	unsat	0.91	ok	unknown
AUFBV/20210301-Alive2/ph7/467_ph7.smt2	unknown	25.23	ok	unknown	24.13	ok	unknown	26.21	rc134	unknown
AUFBV/20210301-Alive2/ph7/475_ph7.smt2	unknown	19.83	ok	unknown	24.13	ok	unknown	8.62	ok	unknown
AUFBV/20210301-Alive2/ph7/482_ph7.smt2	unknown	9.72	ok	unknown	24.13	ok	unknown	1.71	ok	unknown
AUFBV/20210301-Alive2/ph7/490_ph7.smt2	unknown	24.13	ok	sat	3.31	ok	unknown	0.31	ok	unknown
