file	axeyum	ax_s	z3	z3_s	cvc5	cvc5_s
From_T2__s1.t2__p19291_safety_0.smt2	sat	11.52	sat	0.51	sat	1.31
From_T2__s1.t2__p20015_safety_0.smt2	unknown	24.13	sat	0.71	sat	1.31
From_T2__s1.t2_fixed__p15159_terminationG_0.smt2	unknown	24.34	sat	2.71	unknown	26.21
From_T2__s1.t2_fixed__p16687_safety_0.smt2	unknown	20.53	unknown	24.03	unknown	26.21
From_T2__sas2.t2__terminationQ_2_0.smt2	unknown	11.52	sat	1.81	sat	23.93
From_T2__slayer-3-filtered.t2__p21659_terminationG_0.smt2	unknown	11.32	unknown	24.03	unknown	26.22
From_T2__slayer-3-new.t2__p21995_terminationG_0.smt2	unknown	12.52	unknown	24.14	unknown	26.22
From_T2__slayer-3.t2__p22227_terminationG_0.smt2	unknown	11.72	unknown	24.14	unknown	26.22
From_T2__slayer-3.t2_fixed__terminationS_31_0.smt2	unknown	25.04	unsat	11.92	unknown	26.22
From_T2__slayer-4-filtered.t2__p22683_terminationG_0.smt2	unknown	24.23	unknown	24.14	unknown	26.22
From_T2__slayer-n1.t2_fixed__p22997_safety_0.smt2	unsat	8.22	unsat	0.41	unsat	0.21
From_T2__small01.t2__p23469_terminationG_0.smt2	unknown	24.03	unsat	4.91	unknown	26.21
From_T2__small17.t2__p23845_edge_closing_0.smt2	unknown	12.42	unsat	0.31	unknown	26.22
From_T2__streamserver-succeed.t2__p24602_terminationG_0.smt2	unknown	24.74	sat	4.92	unknown	26.21
From_T2__streamserver.bug.t2__terminationS_1_0.smt2	unknown	24.63	unsat	2.51	unsat	7.32
From_T2__svdcmp.c.i.svdcmp.pl.t2.nor.t2.rlgfixed.t2__p24935_safety_0.smt2	unknown	24.94	unknown	24.03	unknown	26.21
From_T2__tqli.c.i.tqli.pl.t2.nor.t2.rlgfixed.t2__p25069_terminationG_0.smt2	unknown	25.13	unknown	24.03	unknown	26.21
From_T2__ud.t2__term_unfeasibility_1_0.smt2	unknown	15.53	sat	2.31	sat	0.81
From_T2__zlib-adler32.c.t2__p25902_terminationG_0.smt2	unknown	24.64	sat	0.31	sat	7.92
