level	file	threshold_mult	admitted_at_level	source_arm	verdict	ms	exit_status	peak_rss_kb	decided_by
off	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--rtc--rtc-ds1390.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2	1	True	shipped	unsat	109	0	15116	qf-bv
2	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem01_00_true-unreach-call.c.smt2	1	True	shipped	unsat	308	0	31736	euf-online
4	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem01_00_true-unreach-call.c.smt2	1	True	shipped	unsat	308	0	31736	euf-online
16	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem01_00_true-unreach-call.c.smt2	1	True	shipped	unsat	308	0	31736	euf-online
off	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem01_00_true-unreach-call.c.smt2	1	True	shipped	unsat	308	0	31736	euf-online
2	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem02_10_true-unreach-call.c.smt2	1	True	shipped	unsat	207	0	28300	euf-online
4	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem02_10_true-unreach-call.c.smt2	1	True	shipped	unsat	207	0	28300	euf-online
16	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem02_10_true-unreach-call.c.smt2	1	True	shipped	unsat	207	0	28300	euf-online
off	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem02_10_true-unreach-call.c.smt2	1	True	shipped	unsat	207	0	28300	euf-online
2	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem03_60_false-unreach-call.c.smt2	1	True	shipped	unknown	25029	0	82512	none
4	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem03_60_false-unreach-call.c.smt2	1	True	shipped	unknown	25029	0	82512	none
16	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem03_60_false-unreach-call.c.smt2	1	True	shipped	unknown	25029	0	82512	none
off	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem03_60_false-unreach-call.c.smt2	1	True	shipped	unknown	25029	0	82512	none
2	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem04_60_false-unreach-call.c.smt2	1	True	shipped	unknown	25133	0	176008	none
4	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem04_60_false-unreach-call.c.smt2	1	True	shipped	unknown	25133	0	176008	none
16	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem04_60_false-unreach-call.c.smt2	1	True	shipped	unknown	25133	0	176008	none
off	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem04_60_false-unreach-call.c.smt2	1	True	shipped	unknown	25133	0	176008	none
2	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem07_60_false-unreach-call.c.smt2	1	True	shipped	unknown	25131	0	1209692	none
4	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem07_60_false-unreach-call.c.smt2	1	True	shipped	unknown	25131	0	1209692	none
16	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem07_60_false-unreach-call.c.smt2	1	True	shipped	unknown	25131	0	1209692	none
off	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem07_60_false-unreach-call.c.smt2	1	True	shipped	unknown	25131	0	1209692	none
2	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem13_60_false-unreach-call.c.smt2	3	False	shipped	unknown	25030	0	159908	none
4	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem13_60_false-unreach-call.c.smt2	3	True	65536	unknown	25032	0	163728	none
16	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem13_60_false-unreach-call.c.smt2	3	True	65536	unknown	25032	0	163728	none
off	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem13_60_false-unreach-call.c.smt2	3	True	65536	unknown	25032	0	163728	none
2	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem16_50_true-unreach-call.c.smt2	1	True	shipped	unsat	11217	0	62556	uf-arith-lazy-overbound
4	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem16_50_true-unreach-call.c.smt2	1	True	shipped	unsat	11217	0	62556	uf-arith-lazy-overbound
16	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem16_50_true-unreach-call.c.smt2	1	True	shipped	unsat	11217	0	62556	uf-arith-lazy-overbound
off	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem16_50_true-unreach-call.c.smt2	1	True	shipped	unsat	11217	0	62556	uf-arith-lazy-overbound
2	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.array_false-unreach-call.i.smt2	1	True	shipped	sat	108	0	17288	uf-arithmetic
4	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.array_false-unreach-call.i.smt2	1	True	shipped	sat	108	0	17288	uf-arithmetic
16	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.array_false-unreach-call.i.smt2	1	True	shipped	sat	108	0	17288	uf-arithmetic
off	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.array_false-unreach-call.i.smt2	1	True	shipped	sat	108	0	17288	uf-arithmetic
2	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.cs_fib_longer_false-unreach-call.i.smt2	1	True	shipped	unknown	25233	0	2399568	none
4	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.cs_fib_longer_false-unreach-call.i.smt2	1	True	shipped	unknown	25233	0	2399568	none
16	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.cs_fib_longer_false-unreach-call.i.smt2	1	True	shipped	unknown	25233	0	2399568	none
off	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.cs_fib_longer_false-unreach-call.i.smt2	1	True	shipped	unknown	25233	0	2399568	none
2	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.ddv_machzwd_outb_false-unreach-call.i.smt2	3	False	shipped	unknown	25034	0	108956	none
4	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.ddv_machzwd_outb_false-unreach-call.i.smt2	3	True	65536	unknown	25133	0	1257728	none
16	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.ddv_machzwd_outb_false-unreach-call.i.smt2	3	True	65536	unknown	25133	0	1257728	none
off	QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.ddv_machzwd_outb_false-unreach-call.i.smt2	3	True	65536	unknown	25133	0	1257728	none
