file	arm	verdict	ms	exit
QF_NRA/LassoRanker/Ultimate/SantaBarbara01.bpl_Iteration1_Lasso_3-pieceTemplate.smt2	z3-default	unsat	14821	0
QF_NRA/LassoRanker/Ultimate/SantaBarbara01.bpl_Iteration1_Lasso_3-pieceTemplate.smt2	z3-nlsat	none	24029	0
QF_NRA/LassoRanker/Ultimate/SantaBarbara01.bpl_Iteration1_Lasso_3-pieceTemplate.smt2	z3-lin	unsat	207	0
QF_NRA/LassoRanker/Ultimate/SantaBarbara01.bpl_Iteration1_Lasso_3-pieceTemplate.smt2	cvc5	unsat	308	0
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0014.smt2	z3-default	sat	107	0
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0014.smt2	z3-nlsat	sat	108	0
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0014.smt2	z3-lin	unknown	108	0
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0014.smt2	cvc5	sat	108	0
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0089.smt2	z3-default	sat	107	0
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0089.smt2	z3-nlsat	sat	109	0
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0089.smt2	z3-lin	unknown	108	0
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0089.smt2	cvc5	sat	108	0
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0242.smt2	z3-default	unsat	108	0
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0242.smt2	z3-nlsat	unsat	108	0
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0242.smt2	z3-lin	unknown	109	0
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0242.smt2	cvc5	unsat	108	0
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0243.smt2	z3-default	sat	108	0
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0243.smt2	z3-nlsat	sat	108	0
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0243.smt2	z3-lin	unknown	108	0
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0243.smt2	cvc5	sat	108	0
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0653.smt2	z3-default	sat	108	0
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0653.smt2	z3-nlsat	sat	108	0
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0653.smt2	z3-lin	none	24029	0
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0653.smt2	cvc5	sat	143	0
QF_NRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0080.smt2	z3-default	unsat	108	0
QF_NRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0080.smt2	z3-nlsat	unsat	108	0
QF_NRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0080.smt2	z3-lin	unsat	108	0
QF_NRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0080.smt2	cvc5	unsat	108	0
QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0146.smt2	z3-default	unsat	108	0
QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0146.smt2	z3-nlsat	unsat	108	0
QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0146.smt2	z3-lin	unknown	108	0
QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0146.smt2	cvc5	unsat	108	0
QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0017.smt2	z3-default	sat	108	0
QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0017.smt2	z3-nlsat	sat	108	0
QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0017.smt2	z3-lin	unknown	108	0
QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0017.smt2	cvc5	sat	108	0
QF_NRA/meti-tarski/exp/problem/10/3/exp-problem-10-3-chunk-0139.smt2	z3-default	sat	107	0
QF_NRA/meti-tarski/exp/problem/10/3/exp-problem-10-3-chunk-0139.smt2	z3-nlsat	sat	108	0
QF_NRA/meti-tarski/exp/problem/10/3/exp-problem-10-3-chunk-0139.smt2	z3-lin	none	24030	0
QF_NRA/meti-tarski/exp/problem/10/3/exp-problem-10-3-chunk-0139.smt2	cvc5	sat	108	0
QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0081.smt2	z3-default	unsat	107	0
QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0081.smt2	z3-nlsat	unsat	108	0
QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0081.smt2	z3-lin	unsat	108	0
QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0081.smt2	cvc5	unsat	108	0
QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0204.smt2	z3-default	unsat	107	0
QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0204.smt2	z3-nlsat	unsat	108	0
QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0204.smt2	z3-lin	unsat	108	0
QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0204.smt2	cvc5	unsat	107	0
QF_NRA/meti-tarski/Nichols-Plot/Inverted-Pendulum/Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0160.smt2	z3-default	unsat	107	0
QF_NRA/meti-tarski/Nichols-Plot/Inverted-Pendulum/Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0160.smt2	z3-nlsat	unsat	108	0
QF_NRA/meti-tarski/Nichols-Plot/Inverted-Pendulum/Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0160.smt2	z3-lin	unsat	108	0
QF_NRA/meti-tarski/Nichols-Plot/Inverted-Pendulum/Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0160.smt2	cvc5	unsat	108	0
QF_NRA/meti-tarski/polypaver/sqrt43-int/3vars/polypaver-sqrt43-int-3vars-chunk-0046.smt2	z3-default	sat	108	0
QF_NRA/meti-tarski/polypaver/sqrt43-int/3vars/polypaver-sqrt43-int-3vars-chunk-0046.smt2	z3-nlsat	sat	108	0
QF_NRA/meti-tarski/polypaver/sqrt43-int/3vars/polypaver-sqrt43-int-3vars-chunk-0046.smt2	z3-lin	unknown	108	0
QF_NRA/meti-tarski/polypaver/sqrt43-int/3vars/polypaver-sqrt43-int-3vars-chunk-0046.smt2	cvc5	sat	108	0
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0147.smt2	z3-default	unsat	107	0
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0147.smt2	z3-nlsat	unsat	108	0
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0147.smt2	z3-lin	unknown	108	0
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0147.smt2	cvc5	unsat	107	0
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0291.smt2	z3-default	sat	107	0
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0291.smt2	z3-nlsat	sat	107	0
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0291.smt2	z3-lin	none	24029	0
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0291.smt2	cvc5	sat	109	0
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0419.smt2	z3-default	unsat	108	0
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0419.smt2	z3-nlsat	unsat	108	0
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0419.smt2	z3-lin	unknown	109	0
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0419.smt2	cvc5	unsat	108	0
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0543.smt2	z3-default	sat	108	0
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0543.smt2	z3-nlsat	sat	108	0
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0543.smt2	z3-lin	unknown	108	0
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0543.smt2	cvc5	sat	108	0
QF_NRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0203.smt2	z3-default	sat	108	0
QF_NRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0203.smt2	z3-nlsat	sat	108	0
QF_NRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0203.smt2	z3-lin	unknown	108	0
QF_NRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0203.smt2	cvc5	sat	108	0
QF_NRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0131.smt2	z3-default	sat	108	0
QF_NRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0131.smt2	z3-nlsat	sat	108	0
QF_NRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0131.smt2	z3-lin	unknown	108	0
QF_NRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0131.smt2	cvc5	sat	109	0
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0228.smt2	z3-default	sat	108	0
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0228.smt2	z3-nlsat	sat	109	0
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0228.smt2	z3-lin	unknown	5013	0
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0228.smt2	cvc5	sat	107	0
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0354.smt2	z3-default	unsat	107	0
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0354.smt2	z3-nlsat	unsat	108	0
