cell,latency_nanos,cumulative_fraction
z3_cold,271014,0.15422885572139303
z3_cold,271063,0.1558872305140962
z3_cold,271561,0.15754560530679934
z3_cold,271643,0.15920398009950248
z3_cold,272339,0.16086235489220563
z3_cold,273595,0.1625207296849088
z3_cold,273904,0.16417910447761194
z3_cold,275653,0.16583747927031509
z3_cold,276966,0.16749585406301823
z3_cold,277133,0.1691542288557214
z3_cold,277314,0.17081260364842454
z3_cold,277904,0.1724709784411277
z3_cold,279527,0.17412935323383086
z3_cold,280771,0.175787728026534
z3_cold,281818,0.17744610281923714
z3_cold,282794,0.1791044776119403
z3_cold,283670,0.18076285240464346
z3_cold,284252,0.1824212271973466
z3_cold,284484,0.18407960199004975
z3_cold,285906,0.1857379767827529
z3_cold,286370,0.18739635157545606
z3_cold,286513,0.1890547263681592
z3_cold,286740,0.19071310116086235
z3_cold,286745,0.19237147595356552
z3_cold,286994,0.19402985074626866
z3_cold,287427,0.1956882255389718
z3_cold,288010,0.19734660033167495
z3_cold,288120,0.19900497512437812
z3_cold,288490,0.20066334991708126
z3_cold,288882,0.2023217247097844
z3_cold,289422,0.20398009950248755
z3_cold,289949,0.20563847429519072
z3_cold,290011,0.20729684908789386
z3_cold,290270,0.208955223880597
z3_cold,291844,0.21061359867330018
z3_cold,293173,0.21227197346600332
z3_cold,293626,0.21393034825870647
z3_cold,294518,0.2155887230514096
z3_cold,294550,0.21724709784411278
z3_cold,294766,0.21890547263681592
z3_cold,295872,0.22056384742951907
z3_cold,296452,0.2222222222222222
z3_cold,296749,0.22388059701492538
z3_cold,296877,0.22553897180762852
z3_cold,297825,0.22719734660033167
z3_cold,300140,0.22885572139303484
z3_cold,300141,0.23051409618573798
z3_cold,300565,0.23217247097844113
z3_cold,300666,0.23383084577114427
z3_cold,300684,0.23548922056384744
z3_cold,300765,0.23714759535655058
z3_cold,300784,0.23880597014925373
z3_cold,301975,0.24046434494195687
z3_cold,304434,0.24212271973466004
z3_cold,304639,0.24378109452736318
z3_cold,307234,0.24543946932006633
z3_cold,307437,0.2470978441127695
z3_cold,308011,0.24875621890547264
z3_cold,309153,0.2504145936981758
z3_cold,309278,0.25207296849087896
z3_cold,309335,0.2537313432835821
z3_cold,310070,0.25538971807628524
z3_cold,310082,0.2570480928689884
z3_cold,310518,0.25870646766169153
z3_cold,310938,0.2603648424543947
z3_cold,311614,0.2620232172470978
z3_cold,312484,0.263681592039801
z3_cold,313448,0.26533996683250416
z3_cold,313787,0.2669983416252073
z3_cold,314040,0.26865671641791045
z3_cold,314282,0.2703150912106136
z3_cold,315581,0.27197346600331673
z3_cold,315818,0.2736318407960199
z3_cold,315823,0.2752902155887231
z3_cold,315855,0.2769485903814262
z3_cold,316662,0.27860696517412936
z3_cold,316748,0.2802653399668325
z3_cold,317570,0.28192371475953565
z3_cold,317699,0.2835820895522388
z3_cold,318233,0.28524046434494194
z3_cold,318519,0.28689883913764513
z3_cold,318974,0.2885572139303483
z3_cold,319076,0.2902155887230514
z3_cold,319266,0.29187396351575456
z3_cold,320924,0.2935323383084577
z3_cold,320952,0.29519071310116085
z3_cold,321273,0.296849087893864
z3_cold,322847,0.29850746268656714
z3_cold,322877,0.30016583747927034
z3_cold,323246,0.3018242122719735
z3_cold,324486,0.3034825870646766
z3_cold,325746,0.30514096185737977
z3_cold,327525,0.3067993366500829
z3_cold,329021,0.30845771144278605
z3_cold,329959,0.3101160862354892
z3_cold,330050,0.3117744610281924
z3_cold,330480,0.31343283582089554
z3_cold,340017,0.3150912106135987
z3_cold,341406,0.3167495854063018
z3_cold,341915,0.31840796019900497
z3_cold,352305,0.3200663349917081
