file	board_1446a809c	ms	main_2611e14b0	ms	first	status
QF_UFLIA/mathsat/Wisa/xs-13-06-1-1-2-4.smt2	sat	808	sat	809	A	sat
QF_UFLIA/mathsat/Wisa/xs-13-20-2-2-4-4.smt2	sat	810	sat	810	B	sat
QF_UFLIA/mathsat/Wisa/xs-14-17-5-4-3-1.smt2	sat	809	sat	809	A	sat
QF_UFLIA/mathsat/Wisa/xs-15-14-5-5-5-1.smt2	sat	910	sat	909	B	sat
QF_UFLIA/mathsat/Wisa/xs-16-12-2-5-3-4.smt2	sat	1010	sat	1009	A	sat
QF_UFLIA/mathsat/Wisa/xs-17-09-4-3-5-5.smt2	sat	1109	sat	1110	B	sat
QF_UFLIA/mathsat/Wisa/xs-18-06-4-2-1-1.smt2	sat	1208	sat	1210	A	sat
QF_UFLIA/mathsat/Wisa/xs-18-19-4-1-1-5.smt2	sat	1109	sat	1209	B	sat
QF_UFLIA/mathsat/Wisa/xs-19-15-3-1-3-4.smt2	sat	1311	sat	1309	A	sat
QF_UFLIA/mathsat/Wisa/xs-20-12-3-1-5-2.smt2	sat	1510	sat	1508	B	sat
QF_UFLIA/wisas/xs_11_16.smt2	sat	1408	sat	1408	A	sat
QF_UFLIA/wisas/xs_15_20.smt2	sat	1609	sat	1608	B	sat
QF_UFLIA/wisas/xs_19_29.smt2	unknown	25030	unknown	24328	A	sat
QF_UFLIA/wisas/xs_23_33.smt2	sat	14120	sat	14319	B	sat
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_66_QF_UFLIA.smt2	unknown	407	unknown	407	A	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/38347_092cc73601c78e45f4f9_56_QF_UFLIA.smt2	unknown	108	unknown	107	B	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/41958_45c688a4814eb926c254_59_QF_UFLIA.smt2	unknown	107	unknown	108	A	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/52759_bec3a2272267494faeecb6bfaf253e3b_10_QF_UFLIA.smt2	unknown	207	unknown	208	B	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/66603_accdadf23a1cf70ae043_73_QF_UFLIA.smt2	unknown	25026	unknown	25026	A	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/93493_1fdb6cc8eb9c4363b5838af9eb8c7f1f_53_QF_UFLIA.smt2	unknown	308	unknown	307	B	unknown
QF_UFLIA/TwoSquares/smtlib.602046.smt2	unsat	108	unsat	108	A	unsat
QF_UFLIA/TwoSquares/smtlib.675482.smt2	unsat	108	unsat	108	B	unsat
QF_UFLIA/mathsat/EufLaArithmetic/hard/hard15.smt2	unknown	25029	unknown	24328	A	unsat
QF_UFLIA/mathsat/EufLaArithmetic/medium/medium10.smt2	unsat	18322	unsat	18322	B	unsat
QF_UFLIA/mathsat/EufLaArithmetic/medium/medium6.smt2	unsat	15518	unsat	15416	A	unsat
QF_UFLIA/mathsat/Hash/hash_sat_03_11.smt2	sat	1609	sat	1608	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_04_05.smt2	sat	907	sat	909	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_04_17.smt2	sat	18324	sat	18319	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_05_11.smt2	sat	18320	sat	18324	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_06_05.smt2	sat	18324	sat	18325	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_06_17.smt2	sat	18424	sat	18424	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_07_11.smt2	sat	18422	sat	18423	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_08_05.smt2	sat	18323	sat	18324	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_08_17.smt2	sat	18421	sat	18423	B	sat
