file	board_1446a809c	ms	main_2611e14b0	ms	first	status
QF_LIA/20220307-SMPT/2PhLockVParam/RF-05.smt2	sat	107	sat	107	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-14.smt2	unsat	108	unsat	107	B	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-12.smt2	sat	107	sat	107	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-06.smt2	sat	108	sat	107	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-15.smt2	unsat	107	unsat	107	A	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-11.smt2	unsat	107	unsat	108	B	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-11.smt2	unsat	107	unsat	107	A	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-10.smt2	sat	106	sat	108	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-02.smt2	unsat	107	unsat	108	A	unsat
QF_LIA/CAV_2009_benchmarks/smt/10-vars/problem_2__026.smt2	unsat	107	unsat	108	B	unsat
QF_LIA/CAV_2009_benchmarks/smt/10-vars/problem_2__030.smt2	unsat	108	unsat	107	A	unsat
QF_LIA/CIRC/multiplier/MULTIPLIER_64.msat.smt2	sat	407	sat	409	B	sat
QF_LIA/bofill-scheduling/SMT_random_LIA/ex20400_2600_100.smt2	unknown	24129	unknown	24131	A	sat
QF_LIA/bofill-scheduling/SMT_real_LIA/ex4320_2400_100.smt2	unsat	8215	unsat	8115	B	unsat
QF_LIA/bofill-scheduling/SMT_real_LIA/ex9600_2400_100.smt2	sat	15317	sat	15321	A	sat
QF_LIA/convert/convert-jpg2gif-query-1501.smt2	unknown	8516	unknown	8513	B	unknown
QF_LIA/dillig/20-30.smt2	sat	10919	sat	10920	A	sat
QF_LIA/mathsat/FISCHER6-4-fair.smt2	unsat	409	unsat	409	B	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-48-49.smt2	unknown	25030	unknown	25128	A	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-29-47.smt2	unknown	25032	unknown	25128	B	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-20-49.smt2	unknown	25027	unknown	24931	A	unsat
QF_LIA/nec-smt/large/checkpass_pwd/prp-4-38.smt2	unknown	25028	unknown	24534	B	sat
QF_LIA/nec-smt/large/getoption/prp-2-200.smt2	unknown	25030	unknown	10618	A	sat
QF_LIA/nec-smt/large/bftpd_login/prp-44-46.smt2	unknown	25030	unknown	23926	B	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-27-47.smt2	unknown	25027	unknown	24628	A	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-5-47.smt2	unknown	25031	unknown	25132	B	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-19-50.smt2	unknown	25032	unknown	25131	A	unsat
QF_LIA/nec-smt/med/checkpass_pwd/prp-8-22.smt2	unknown	25025	unknown	20324	B	sat
QF_LIA/pb2010/normalized-j606_1-unsat.smt2	unsat	210	unsat	207	A	unsat
QF_LIA/rings/ring_2exp4_7vars_4ite_unsat.smt2	unknown	24033	unknown	24029	B	unsat
QF_LIA/rings/ring_2exp16_9vars_1ite_unsat.smt2	unknown	24028	unknown	24033	A	unsat
QF_LIA/slacks/35-11.slack.smt2	sat	4611	sat	4712	B	sat
