file	a_verdict	a_ms	a_kind	b_verdict	b_ms	b_kind	first	a_giveup	b_giveup
QF_AUFLIA/swap/swap_invalid_t1_pp_sf_ai_00005_001.cvc.smt2	sat	1409	NOGIVEUP	sat	1508	NOGIVEUP	B	none	none
QF_AUFLIA/swap/swap_invalid_t1_pp_sf_ai_00005_008.cvc.smt2	sat	1008	NOGIVEUP	sat	1008	NOGIVEUP	A	none	none
QF_AUFLIA/swap/swap_invalid_t1_pp_sf_ai_00008_004.cvc.smt2	sat	23731	NOGIVEUP	sat	23831	NOGIVEUP	B	none	none
QF_AUFLIA/swap/swap_invalid_t3_pp_nf_ai_00003_005.cvc.smt2	sat	208	NOGIVEUP	sat	208	NOGIVEUP	A	none	none
QF_AUFLIA/swap/swap_invalid_t3_pp_nf_ai_00005_004.cvc.smt2	sat	409	NOGIVEUP	sat	409	NOGIVEUP	B	none	none
QF_AUFLIA/swap/swap_invalid_t3_pp_nf_ai_00006_009.cvc.smt2	sat	22327	NOGIVEUP	sat	21829	NOGIVEUP	A	none	none
QF_AUFLIA/swap/swap_invalid_t3_pp_sf_ai_00003_002.cvc.smt2	sat	108	NOGIVEUP	sat	108	NOGIVEUP	B	none	none
QF_AUFLIA/swap/swap_invalid_t3_pp_sf_ai_00004_003.cvc.smt2	sat	508	NOGIVEUP	sat	508	NOGIVEUP	A	none	none
QF_AUFLIA/swap/swap_t1_pp_nf_ai_00002_003.cvc.smt2	unsat	109	NOGIVEUP	unsat	108	NOGIVEUP	B	none	none
QF_AUFLIA/swap/swap_t1_pp_nf_ai_00003_008.cvc.smt2	unsat	108	NOGIVEUP	unsat	107	NOGIVEUP	A	none	none
QF_AUFLIA/swap/swap_t1_pp_nf_ai_00006_002.cvc.smt2	unsat	108	NOGIVEUP	unsat	108	NOGIVEUP	B	none	none
QF_AUFLIA/swap/swap_t1_pp_nf_ai_00007_001.cvc.smt2	unsat	108	NOGIVEUP	unsat	108	NOGIVEUP	A	none	none
QF_AUFLIA/swap/swap_t1_pp_nf_ai_00008_001.cvc.smt2	unsat	108	NOGIVEUP	unsat	108	NOGIVEUP	B	none	none
QF_AUFLIA/swap/swap_t1_pp_nf_ai_00009_002.cvc.smt2	unsat	108	NOGIVEUP	unsat	107	NOGIVEUP	A	none	none
QF_AUFLIA/swap/swap_t1_pp_nf_ai_00010_008.cvc.smt2	unsat	108	NOGIVEUP	unsat	108	NOGIVEUP	B	none	none
QF_AUFLIA/swap/swap_t1_pp_sf_ai_00003_002.cvc.smt2	unsat	208	NOGIVEUP	unsat	208	NOGIVEUP	A	none	none
QF_AUFLIA/swap/swap_t1_pp_sf_ai_00004_007.cvc.smt2	unsat	2512	NOGIVEUP	unsat	2310	NOGIVEUP	B	none	none
QF_AUFLIA/swap/swap_t1_pp_sf_ai_00006_001.cvc.smt2	unsat	109	NOGIVEUP	unsat	108	NOGIVEUP	A	none	none
QF_AUFLIA/swap/swap_t1_pp_sf_ai_00007_004.cvc.smt2	unsat	23931	NOGIVEUP	unsat	23830	NOGIVEUP	B	none	none
QF_AUFLIA/swap/swap_t3_pp_nf_ai_00002_005.cvc.smt2	unsat	109	NOGIVEUP	unsat	108	NOGIVEUP	A	none	none
QF_AUFLIA/swap/swap_t3_pp_nf_ai_00004_007.cvc.smt2	unsat	108	NOGIVEUP	unsat	108	NOGIVEUP	B	none	none
QF_AUFLIA/swap/swap_t3_pp_nf_ai_00005_006.cvc.smt2	unsat	107	NOGIVEUP	unsat	107	NOGIVEUP	A	none	none
QF_AUFLIA/swap/swap_t3_pp_nf_ai_00007_003.cvc.smt2	unsat	108	NOGIVEUP	unsat	107	NOGIVEUP	B	none	none
QF_AUFLIA/swap/swap_t3_pp_nf_ai_00009_004.cvc.smt2	unsat	109	NOGIVEUP	unsat	109	NOGIVEUP	A	none	none
QF_AUFLIA/swap/swap_t3_pp_nf_ai_00010_007.cvc.smt2	unsat	108	NOGIVEUP	unsat	109	NOGIVEUP	B	none	none
QF_AUFLIA/swap/swap_t3_pp_sf_ai_00004_002.cvc.smt2	unsat	9417	NOGIVEUP	unsat	10918	NOGIVEUP	A	none	none
QF_AUFLIA/swap/swap_t3_pp_sf_ai_00005_006.cvc.smt2	unsat	108	NOGIVEUP	unsat	108	NOGIVEUP	B	none	none
