file	predicted	our_verdict	wording	mbqi_exit	z3_default	z3_emat_only	z3_mbqi_only	z3_neither	z3_attribution	z3_qi_inst	z3_dt_ctor_ax	z3_dt_acc_ax
SB07-003__crash__a-cfdlli.ads_610_49_database.adb_10_4_overflow_check___00.smt2	W3	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	9	8	8
adacore_u__communication.adb_41_32_overflow_check___00.smt2	W3	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	15	3	3
adacore_u__p.adb_99_42_overflow_check___00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	timeout	timeout	timeout	timeout	UNDECIDED	0	0	0
evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	10	0	0
ghc_sort__ghc_sort.adb_51_24_range_check___00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	0	0	0
ghc_sort__ghc_sort.adb_85_22_overflow_check___00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	62	3	3
riposte__array_aggregates__array_aggregates.adb_309_22_assert___00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	timeout	timeout	timeout	timeout	UNDECIDED	0	0	0
riposte__array_applications__why_0df1aa_array_applications-T-defqtvc__00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	timeout	timeout	EMATCHING	85	0	0
riposte__arrays__arrays.adb_161_16_index_check___00.smt2	W3	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	8	1	1
riposte__arrays_of_records__arrays_of_records.adb_264_22_postcondition___00.smt2	W1	unknown	NONE	nested-binder-in-matrix	timeout	timeout	unknown	unknown	UNDECIDED	0	0	0
riposte__simple_arrays__simple_arrays.adb_101_22_postcondition___00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	16	0	0
riposte__simple_arrays__simple_arrays.adb_674_22_assert___00.smt2	NONE	unknown	NONE	nested-binder-in-matrix	timeout	timeout	timeout	timeout	UNDECIDED	0	0	0
tagged_stacks__stacks.adb_17_19_index_check___00.smt2	W3	unknown	NONE	nested-binder-in-matrix	unsat	unsat	unsat	unsat	GROUND	14	3	5
tetris__tetris_flow.adb_59_63_index_check___00.smt2	W3	unknown	NONE	nested-binder-in-matrix	unknown	unknown	unknown	unknown	UNDECIDED	123	1	1
