subset	verdict	bound_by	last	attempts	total_ms	giveup_kind	giveup_raw
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_182_35_use_formal_vectors.ads_10_4_null_pointer_dereference___01.smt2.core.smt2	unknown	q:mbqi-quick	fd:bounded-completeness-unsat	20	34	Incomplete	mbqi declined an unsupported fragment: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022); and no rung below the datatype route decided it either: term #1 uses unsupported pure-Rust BV operator DtSelect { constructor: ConstructorId(21), index: 0 }
AUFDTLIRA_20200306-Kanig_spark2014bench_S212-028__update__generic_ring_buffer.adb_78_13_tester.adb_9_4_predicate_check___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	40	4204	ResourceLimit	term #0 has sort (Uninterpreted 5) that the pure-Rust BV backend cannot bit-blast; and no rung below the datatype route decided it either: combined theories: eager Ackermann elimination would emit 176 congruence constraints, exceeding the deterministic admission bound of 64 (the O(k²) expansion and its downstream solve run unbounded; this needs a lazy/CEGAR route)
AUFDTLIRA_20200306-Kanig_spark2014bench_S531-010__loop_frame_condition__do_loops.adb_131_19_index_check___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	2369	Incomplete	mbqi declined an unsupported fragment: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022); and no rung below the datatype route decided it either: term #4923 uses unsupported pure-Rust BV operator DtSelect { constructor: ConstructorId(23), index: 0 }
AUFDTLIRA_20200306-Kanig_spark2014bench_S531-010__loop_frame_condition__do_loops.adb_47_13_index_check___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	87	Incomplete	mbqi declined an unsupported fragment: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022); and no rung below the datatype route decided it either: term #1261 uses unsupported pure-Rust BV operator DtSelect { constructor: ConstructorId(23), index: 0 }
AUFDTLIRA_20200306-Kanig_spark2014bench_S531-010__loop_frame_condition__do_loops.adb_82_26_null_pointer_dereference___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	1082	Incomplete	mbqi declined an unsupported fragment: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022); and no rung below the datatype route decided it either: term #2696 uses unsupported pure-Rust BV operator DtSelect { constructor: ConstructorId(23), index: 0 }
AUFDTLIRA_20200306-Kanig_spark2014bench_SB07-003__crash__a-cfdlli.ads_610_49_database.adb_10_4_overflow_check___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	20	81	Incomplete	mbqi declined an unsupported fragment: term #247 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast; and no rung below the datatype route decided it either: term #11 uses unsupported pure-Rust BV operator DtConstruct { constructor: ConstructorId(10), datatype: DatatypeId(10) }
AUFDTLIRA_20200306-Kanig_spark2014bench_adacore_u__communication.adb_41_32_overflow_check___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	30	3021	Incomplete	non-bit-vector array sorts are represented in IR, but this shape is outside the current Bool/Int lazy array route
AUFDTLIRA_20200306-Kanig_spark2014bench_evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	7	364	NONE	NONE
AUFDTLIRA_20200306-Kanig_spark2014bench_ghc_sort__ghc_sort.adb_51_24_range_check___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	86	5843	Incomplete	e-matching: no universal is asserted; the nested quantifiers present are registered, not instantiated
AUFDTLIRA_20200306-Kanig_spark2014bench_ghc_sort__ghc_sort.adb_85_22_overflow_check___00.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	100	14598	ResourceLimit	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
