subset	verdict	rc	ms	host	core
UFLIA_boogie_Arrays_Q3-noinfer.smt2.rel2.smt2	unknown	0	24321	server5	1
UFLIA_boogie_Arrays_Q3-noinfer.smt2.rel3.smt2	unknown	0	24125	server6	3
UFLIA_boogie_Arrays_Q3-noinfer.smt2.small1.smt2	sat	0	109	server7	0
UFLIA_boogie_Arrays_Q3-noinfer.smt2.small10.smt2	unknown	0	24127	server7	1
UFLIA_boogie_Arrays_Q3-noinfer.smt2.small2.smt2	sat	0	110	server7	2
UFLIA_boogie_Arrays_Q3-noinfer.smt2.small5.smt2	unknown	0	4813	server7	3
UFLIA_boogie_Arrays_Q3-noinfer.smt2.suffix1.smt2	sat	0	107	server5	1
UFLIA_boogie_Arrays_Q3-noinfer.smt2.suffix10.smt2	unknown	0	19721	server6	3
UFLIA_boogie_Arrays_Q3-noinfer.smt2.suffix2.smt2	unknown	0	911	server7	0
UFLIA_boogie_Arrays_Q3-noinfer.smt2.suffix5.smt2	unknown	0	11418	server7	1
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.prefix1.smt2	sat	0	112	server7	2
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.prefix10.smt2	sat	0	110	server7	3
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.prefix2.smt2	sat	0	107	server5	1
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.prefix25.smt2	unknown	0	111	server6	3
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.prefix5.smt2	sat	0	110	server7	0
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.prefix50.smt2	unknown	0	2613	server7	1
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.rel0.smt2	sat	0	110	server7	2
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.rel1.smt2	unknown	0	24127	server7	3
