file	base	base_giveup	guard	guard_giveup	status
O429-042__stdlib_tasking__ada_real_time.ads_274_54_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O512-022__fibonacci__fib.adb_113_17_division_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O512-022__fibonacci__fib.adb_76_33_loop_invariant_preserv___00.smt2	unknown	give-up kind=Error detail=unsupported by backend: term #2660 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #2660 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast	unknown
O512-022__fibonacci__fib.adb_8_33_loop_invariant_preserv___00.smt2	unsat	none	unsat	none	unsat
O512-022__hello_world__after_tax.adb_7_22_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O512-022__pgcd_ppcm__a.adb_13_25_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O512-022__pgcd_ppcm__a.adb_32_14_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O512-022__pgcd_ppcm__a.ads_8_34_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O512-022__power_and_sum__power_and_sum.adb_36_33_loop_invariant_preserv___00.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unsat
O512-022__power_and_sum__power_and_sum.adb_9_33_loop_invariant_init___00.smt2	unsat	none	unsat	none	unsat
O512-022__students__students.adb_17_22_assert___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O512-022__students__students.adb_41_40_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O512-022__students__students.adb_54_43_range_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O515-007__fxp_identity__duration_div.adb_13_34_division_check___00.smt2	unsat	none	unsat	none	unsat
O521-007__fxp_div_int_result__fxp_div.adb_34_29_precondition___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O617-006__fxp_div_int_res__fxp_div_int_res.adb_16_19_assert___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
O813-018__fixed_points__conversion_fixed.adb_15_22_assert___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O813-018__fixed_points__conversion_fixed.adb_32_22_assert___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O813-018__fixed_points__fraction_fixed.adb_47_28_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O813-018__fixed_points__fraction_fixed.adb_55_28_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O813-018__fixed_points__fraction_fixed.adb_71_22_assert___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
O813-018__fixed_points__fraction_fixed.adb_81_25_assert___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O813-018__fixed_points__integer_fixed.adb_102_25_assert___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O813-018__fixed_points__integer_fixed.adb_44_22_assert___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O813-018__fixed_points__integer_fixed.adb_49_16_range_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O813-018__fixed_points__integer_fixed.adb_67_14_division_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O813-018__fixed_points__integer_fixed.adb_71_14_division_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O813-018__fixed_points__integer_fixed.adb_89_27_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
O826-012__counter__test.adb_11_17_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=no model within the bounded integer width 32; widen the bound	unknown	give-up kind=Incomplete detail=no model within the bounded integer width 32; widen the bound	unsat
OA06-004__mul_div__mul_div_2.adb_30_27_division_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
OA06-004__mul_div__mul_div_2.ads_13_43_division_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
OB11-016__simple__div_zero.adb_6_11_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
P201-069__simulink__simulink_functions.adb_1514_19_overflow_check___00.smt2	unknown	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	unknown	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	unknown
P201-069__simulink__simulink_functions.adb_255_52_range_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unsat
P201-069__simulink__simulink_functions.adb_279_52_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
P201-069__simulink__simulink_functions.adb_509_30_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	unknown
