file	verdict	rc	wall_ms	attempts	decided_by	bound_by	last	bound_ms	total_ms	open_after	open_ms	deepest	qtrace	giveup
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_14_06_194_2692958.smt_in.smt2	unknown	0	1107	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	430	958	na	na	na	egraph@0.467:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT datatype's expansion is not exact (its Ackermann witness is a fresh datatype variable, and two such witnesses cannot be compared exactly, so the congruence consequent would not be the one the axiom states) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_16_03_091_2754904.smt_in.smt2	unknown	0	107	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	18	62	na	na	na	egraph@0.023:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_17_04_260_2787558.smt_in.smt2	unknown	0	108	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	19	52	na	na	na	egraph@0.023:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT datatype's expansion is not exact (its Ackermann witness is a fresh datatype variable, and two such witnesses cannot be compared exactly, so the congruence consequent would not be the one the axiom states) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_stream/x2015_09_10_17_25_02_326_1228881.smt_in.smt2	unknown	0	106	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	9	39	na	na	na	egraph@0.013:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT datatype's expansion is not exact (its Ackermann witness is a fresh datatype variable, and two such witnesses cannot be compared exactly, so the congruence consequent would not be the one the axiom states) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/hamming_stream/x2015_09_10_16_49_24_547_1147275.smt_in.smt2	unknown	0	207	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	72	172	na	na	na	egraph@0.083:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/hamming_stream/x2015_09_10_16_50_13_766_1172962.smt_in.smt2	unknown	0	508	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	197	432	na	na	na	egraph@0.215:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT datatype's expansion is not exact (its Ackermann witness is a fresh datatype variable, and two such witnesses cannot be compared exactly, so the congruence consequent would not be the one the axiom states) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/huffman/x2015_09_10_16_49_25_717_1182749.smt_in.smt2	unknown	0	107	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	12	41	na	na	na	egraph@0.016:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/huffman/x2015_09_10_16_50_31_780_1255844.smt_in.smt2	unknown	0	106	20	none	q:mbqi-quick	fd:bounded-completeness-unsat	36	88	na	na	na	egraph@0.041:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/llist2/x2015_09_10_16_55_28_204_1281177.smt_in.smt2	unknown	0	17624	19	none	q:egraph	fd:bounded-completeness-unsat	7141	17485	na	na	na	egraph@10.855:declined;(+114 segments of other stages dropped)	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 8 rounds (no further instance to admit; more rounds cannot help)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/sorted_list_operations/x2015_09_10_16_48_09_219_1095072.smt_in.smt2	unknown	0	508	20	none	q:mbqi	fd:bounded-completeness-unsat	185	446	na	na	na	egraph@0.237:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/splay_tree_analysis/x2015_09_10_16_56_44_595_1090233.smt_in.smt2	unknown	0	2309	20	none	q:mbqi	fd:bounded-completeness-unsat	1008	2197	na	na	na	egraph@1.135:unsupported->decline;(+17 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker congruence antecedent is STRONGER than the true axiom -- a wrong `unsat`) (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/afp/tllist/x2015_09_10_16_58_00_981_1180359.smt_in.smt2	unknown	0	25025	208	q:uf-fmf-probe	q:mbqi-quick	q:egraph	9651	18497	q:egraph	6502	euf:fc-loop>euf:fc-abstract	egraph@0.049:declined;egraph@0.004:declined;egraph@0.038:declined;egraph@0.146:declined;egraph@0.190:declined;egraph@0.023:declined;egraph@0.022:declined;egraph@0.009:declined;egraph@0.010:declined;egraph@0.010:declined;egraph@0.010:declined;egraph@0.006:declined;egraph@0.006:declined;egraph@0.007:declined;egraph@0.007:declined;egraph@0.007:declined;egraph@0.007:declined;egraph@0.010:declined;egraph@0.010:declined;egraph@1.361:declined;egraph@9.944:declined;(+198 segments of other stages dropped)	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
UFDT/20170428-Barrett/cdt-cade2015/data/distro/gram_lang/x2015_09_10_16_46_38_017_1009817.smt_in.smt2	unknown	0	12317	115	q:uf-fmf-probe	q:mbqi	fd:bounded-completeness-unsat	2225	12250	na	na	na	egraph@0.051:declined;egraph@0.023:declined;egraph@0.005:declined;egraph@0.006:declined;egraph@1.537:declined;egraph@6.106:unsupported->decline;egraph@0.210:declined;egraph@2.215:declined;(+126 segments of other stages dropped)	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: Ackermann congruence over datatype arguments needs 215844 congruence pairs, over the 20000 bound (ADR-0022)
UFDT/20170428-Barrett/cdt-cade2015/data/distro/gram_lang/x2015_09_10_16_48_28_665_1128556.smt_in.smt2	unknown	0	5612	19	none	q:mbqi	fd:bounded-completeness-unsat	3095	5516	na	na	na	egraph@2.317:declined;(+112 segments of other stages dropped)	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 10 rounds (no further instance to admit; more rounds cannot help)
UFDT/20170428-Barrett/cdt-cade2015/data/distro/gram_lang/x2015_09_10_16_51_07_332_1287035.smt_in.smt2	unknown	0	25029	30	none	q:mbqi-quick	q:egraph	10112	15126	q:egraph	9873	euf:fc-loop>euf:fc-abstract	egraph@0.278:declined;egraph@0.349:declined;egraph@10.361:declined;(+56 segments of other stages dropped)	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
