file	verdict	rc	wall_s	kind	detail	decided_by	bound_by	last	bound_ms	total_ms	attempts	phase	truth	cause	mode
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/341.smt2	unknown	0	24.2	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13415	24116	21	none	sat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/456.smt2	unknown	0	16.8	EncodingBudget	estimated 168922815 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6664	10810	21	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/687.smt2	unknown	0	17.2	EncodingBudget	estimated 201766473 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6658	10818	21	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/803.smt2	unknown	0	16.6	EncodingBudget	estimated 164851434 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6679	10793	21	none	sat	cnf-budget	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20210219-Dartagnan/ReachSafety-Loops/array_3-1-O0.smt2	unknown	0	0.3	ResourceLimit	ingest resource limit: `distinct` with 16525 arguments requires 136529550 pairwise expansions; deterministic limit is 65536	none	fd:parse	fd:parse	223	223	1	none	unsat	distinct-ingest	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20210219-Dartagnan/ReachSafety-Loops/geo1-u_valuebound2-O0.smt2	unknown	0	11.0	Incomplete	integer constant 4294967295 does not fit the bounded width 32; widen the bound	none	int-real-relax	fd:bounded-completeness-unsat	4128	4596	22	none	unsat	const-width	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20210219-Dartagnan/ReachSafety-Loops/ps2-ll_unwindbound50-O0.smt2	unknown	0	25.1	Watchdog	watchdog fired before the worker thread returned	none	none	none	-1	-1	-1	stack=none depth=0 in=none in_ms=na deepest=dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:5,dpll-lia:abstract:77049,dpll-lia:assert-all:10,dpll-lia:initial-lemmas:5,dpll-lia:new:10,dpll-lia:prop-assert:77044,dpll-lia:unspecified-scan:10,dpll-t:abstract:5,dpll-t:lra-dpll:5,lia:simplex-capped:5,nra:check:5	unsat	watchdog	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20230328-sqrtmodinv-hoenicke/sqrtStep6a.smt2	unknown	0	1.4	Incomplete	integer constant 462408296549760 does not fit the bounded width 32; widen the bound	none	nia-linearize	fd:bounded-completeness-unsat	24	26	21	none	unsat	const-width	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/AProVE/aproveSMT4687047739446499948.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	14370	24038	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/AProVE/aproveSMT5048239408100334127.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	14850	24037	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/AProVE/aproveSMT6461796824751951221.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13866	24074	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/AProVE/aproveSMT7795667227375240089.smt2	unknown	0	24.0	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	15971	24017	21	none	unsat	ladder-clock	no-model
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/UltimateLassoRanker/LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration6_Lasso+nonterminationTemplate.smt2	unknown	0	24.2	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	19726	24141	19	none	unsat	ladder-clock	no-model
