file	arm	verdict	rc	wall_ms	attempts	decided_by	bound_by	bound_ms	total_ms	giveup	lever_refused
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_leader_filters.2.prop1_ab_cti_max.smt2	a8192	sat	0	812	5	ufbv-online-cdclt	dl-online	614	697	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_leader_filters.2.prop1_ab_cti_max.smt2	n32768	sat	0	811	5	ufbv-online-cdclt	dl-online	615	699	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_leader_filters.2.prop1_ab_cti_max.smt2	n65536	sat	0	811	5	ufbv-online-cdclt	dl-online	614	696	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_leader_filters.2.prop1_ab_cti_max.smt2	n262144	sat	0	812	5	ufbv-online-cdclt	dl-online	614	696	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_leader_filters.2.prop1_ab_cti_max.smt2	bothmid	sat	0	812	5	ufbv-online-cdclt	dl-online	616	699	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_leader_filters.2.prop1_ab_cti_max.smt2	bothmax	sat	0	811	5	ufbv-online-cdclt	dl-online	616	698	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_mcs.6.prop1_ab_cti_max.smt2	n262144	unknown	0	711	14	none	dl-online	616	641	give-up kind=ResourceLimit detail=online UFBV has 1601 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_mcs.6.prop1_ab_cti_max.smt2	bothmid	sat	0	2913	5	ufbv-online-cdclt	ufbv-online-cdclt	2191	2828	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_mcs.6.prop1_ab_cti_max.smt2	bothmax	sat	0	2913	5	ufbv-online-cdclt	ufbv-online-cdclt	2189	2822	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_mcs.6.prop1_ab_cti_max.smt2	base	unknown	0	710	14	none	dl-online	615	640	give-up kind=ResourceLimit detail=online UFBV has 1601 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_mcs.6.prop1_ab_cti_max.smt2	a2048	sat	0	2913	5	ufbv-online-cdclt	ufbv-online-cdclt	2190	2824	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_mcs.6.prop1_ab_cti_max.smt2	a4096	sat	0	2912	5	ufbv-online-cdclt	ufbv-online-cdclt	2199	2834	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_mcs.6.prop1_ab_cti_max.smt2	a8192	sat	0	2913	5	ufbv-online-cdclt	ufbv-online-cdclt	2188	2832	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_mcs.6.prop1_ab_cti_max.smt2	n32768	unknown	0	710	14	none	dl-online	613	637	give-up kind=ResourceLimit detail=online UFBV has 1601 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_mcs.6.prop1_ab_cti_max.smt2	n65536	unknown	0	711	14	none	dl-online	615	639	give-up kind=ResourceLimit detail=online UFBV has 1601 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_pgm_protocol.1.prop2_ab_cti_max.smt2	a8192	unknown	0	910	14	none	dl-online	706	762	give-up kind=NodeBudget detail=online UFBV input has 21261 DAG nodes, exceeding the admission cap of 16384	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_pgm_protocol.1.prop2_ab_cti_max.smt2	n32768	unknown	0	811	14	none	dl-online	718	781	give-up kind=ResourceLimit detail=online UFBV has 5136 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_pgm_protocol.1.prop2_ab_cti_max.smt2	n65536	unknown	0	810	14	none	dl-online	723	788	give-up kind=ResourceLimit detail=online UFBV has 5136 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_pgm_protocol.1.prop2_ab_cti_max.smt2	n262144	unknown	0	911	14	none	dl-online	734	797	give-up kind=ResourceLimit detail=online UFBV has 5136 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_pgm_protocol.1.prop2_ab_cti_max.smt2	bothmid	unknown	0	810	14	none	dl-online	704	770	give-up kind=ResourceLimit detail=online UFBV has 5136 semantic atoms, exceeding the cap of 4096	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_pgm_protocol.1.prop2_ab_cti_max.smt2	bothmax	unknown	0	24135	14	none	ufbv-online-cdclt	23272	24061	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] online UFBV canonical CdclT search exhausted its budget	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_pgm_protocol.1.prop2_ab_cti_max.smt2	base	unknown	0	811	14	none	dl-online	720	773	give-up kind=NodeBudget detail=online UFBV input has 21261 DAG nodes, exceeding the admission cap of 16384	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_pgm_protocol.1.prop2_ab_cti_max.smt2	a2048	unknown	0	811	14	none	dl-online	700	755	give-up kind=NodeBudget detail=online UFBV input has 21261 DAG nodes, exceeding the admission cap of 16384	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_pgm_protocol.1.prop2_ab_cti_max.smt2	a4096	unknown	0	911	14	none	dl-online	750	805	give-up kind=NodeBudget detail=online UFBV input has 21261 DAG nodes, exceeding the admission cap of 16384	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_resistance.1.prop1_ab_reg_max.smt2	base	unsat	0	411	5	ufbv-online-cdclt	dl-online	325	339	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_resistance.1.prop1_ab_reg_max.smt2	a2048	unsat	0	410	5	ufbv-online-cdclt	dl-online	326	340	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_resistance.1.prop1_ab_reg_max.smt2	a4096	unsat	0	411	5	ufbv-online-cdclt	dl-online	325	338	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_resistance.1.prop1_ab_reg_max.smt2	a8192	unsat	0	410	5	ufbv-online-cdclt	dl-online	326	340	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_resistance.1.prop1_ab_reg_max.smt2	n32768	unsat	0	410	5	ufbv-online-cdclt	dl-online	328	342	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_resistance.1.prop1_ab_reg_max.smt2	n65536	unsat	0	410	5	ufbv-online-cdclt	dl-online	325	339	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_resistance.1.prop1_ab_reg_max.smt2	n262144	unsat	0	411	5	ufbv-online-cdclt	dl-online	327	341	none	no
