file	base_verdict	base_s	esc_verdict	esc_s	base_giveup	esc_giveup
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__n-10.t2__p3427_edge_closing_0.smt2	unknown	24.1	unknown	24.2	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__n-5.t2__p4694_edge_closing_0.smt2	unknown	24.1	unknown	24.5	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__p-43-terminate.t2__term_unfeasibility_1_0.smt2	unknown	24.3	unknown	24.5	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__polling.t2_fixed__p7335_terminationG_0.smt2	unknown	25.1	unknown	25.1	kind=Watchdog detail=watchdog fired before the worker thread returned	kind=Watchdog detail=watchdog fired before the worker thread returned
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__queens.t2__term_unfeasibility_1_0.smt2	unknown	25.1	unknown	24.4	kind=Watchdog detail=watchdog fired before the worker thread returned	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__rlft3.c.i.rlft3.pl.t2.fixed.t2__p8813_terminationG_0.smt2	unknown	24.6	unknown	25.2	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Watchdog detail=watchdog fired before the worker thread returned
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2_fixed__p11698_safety_0.smt2	unknown	19.4	unknown	24.1	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #439 is false over exact semantics); widen the bound	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p15159_terminationG_0.smt2	unknown	24.7	unknown	24.7	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p18409_safety_0.smt2	unknown	19.4	unknown	24.4	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #508 is false over exact semantics); widen the bound	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p20015_safety_0.smt2	unknown	24.2	unknown	24.2	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__sas2.t2__terminationQ_2_0.smt2	unknown	11.7	unknown	12.1	kind=EncodingBudget detail=estimated 117393672 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 468743016 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3.t2_fixed__terminationS_31_0.smt2	unknown	24.1	unknown	24.8	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__small01.t2__p23469_terminationG_0.smt2	unknown	24.2	unknown	25.3	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #557 is false over exact semantics); widen the bound	kind=Watchdog detail=watchdog fired before the worker thread returned
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__small17.t2__p23845_edge_closing_0.smt2	unknown	13.1	unknown	24.5	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #321 is false over exact semantics); widen the bound	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver.bug.t2__terminationS_1_0.smt2	unknown	24.7	unknown	25.1	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Watchdog detail=watchdog fired before the worker thread returned
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver-succeed.t2__p24602_terminationG_0.smt2	unknown	25.2	unknown	25.2	kind=Watchdog detail=watchdog fired before the worker thread returned	kind=Watchdog detail=watchdog fired before the worker thread returned
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ud.t2__term_unfeasibility_1_0.smt2	unknown	19.6	unknown	24.5	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #1137 is false over exact semantics); widen the bound	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__zlib-adler32.c.t2__p25902_terminationG_0.smt2	unknown	24.2	unknown	24.3	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/1051.smt2	unknown	18.1	unknown	18.2	kind=EncodingBudget detail=estimated 209669991 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 837121287 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/1166.smt2	unknown	17.3	unknown	17.2	kind=EncodingBudget detail=estimated 234076155 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 934592763 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/1509.smt2	unknown	18.2	unknown	19.8	kind=EncodingBudget detail=estimated 171663927 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 685416471 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/1623.smt2	unknown	17.3	unknown	16.6	kind=EncodingBudget detail=estimated 114208308 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 455984244 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/1738.smt2	unknown	24.3	unknown	24.5	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/227.smt2	unknown	24.2	unknown	24.2	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/341.smt2	unknown	24.2	unknown	24.2	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/456.smt2	unknown	16.6	unknown	16.7	kind=EncodingBudget detail=estimated 168414324 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 672281556 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/571.smt2	unknown	24.3	unknown	24.3	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/687.smt2	unknown	17.1	unknown	17.8	kind=EncodingBudget detail=estimated 201184362 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 803192586 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/SAT14/803.smt2	unknown	16.9	unknown	16.6	kind=EncodingBudget detail=estimated 164395047 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	kind=EncodingBudget detail=estimated 656379783 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20210219-Dartagnan/ReachSafety-Loops/array_3-1-O0.smt2	unknown	0.4	unknown	0.4	kind=ResourceLimit detail=ingest resource limit: `distinct` with 16525 arguments requires 136529550 pairwise expansions; deterministic limit is 65536	kind=ResourceLimit detail=ingest resource limit: `distinct` with 16525 arguments requires 136529550 pairwise expansions; deterministic limit is 65536
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20210219-Dartagnan/ReachSafety-Loops/geo1-u_valuebound2-O0.smt2	unknown	11.1	unknown	24.5	kind=Incomplete detail=integer constant 4294967295 does not fit the bounded width 32; widen the bound	kind=Incomplete detail=no model within the bounded integer width 64; widen the bound
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20210219-Dartagnan/ReachSafety-Loops/ps2-ll_unwindbound50-O0.smt2	unknown	24.4	unknown	25.1	kind=Incomplete detail=no model within the bounded integer width 32; widen the bound	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20230328-sqrtmodinv-hoenicke/sqrtStep6a.smt2	unknown	1.4	unknown	1.4	kind=Incomplete detail=integer constant 462408296549760 does not fit the bounded width 32; widen the bound	kind=Incomplete detail=integer constant 855285730872204993313810429440 does not fit the bounded width 64; widen the bound
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/AProVE/aproveSMT4687047739446499948.smt2	unknown	12.2	unknown	24.4	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #620 is false over exact semantics); widen the bound	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/AProVE/aproveSMT5048239408100334127.smt2	unknown	20.1	unknown	24.5	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #797 is false over exact semantics); widen the bound	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/AProVE/aproveSMT6461796824751951221.smt2	unknown	24.2	unknown	24.1	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/AProVE/aproveSMT7795667227375240089.smt2	unknown	15.8	unknown	25.1	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #323 is false over exact semantics); widen the bound	kind=Watchdog detail=watchdog fired before the worker thread returned
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/UltimateLassoRanker/LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration6_Lasso+nonterminationTemplate.smt2	unknown	24.3	unknown	24.2	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
