file	declared_status	bytes	max_int_literal	min_signed_width	live_ladder_rungs	axeyum_verdict	axeyum_kind	axeyum_ms	axeyum_detail	decisive_route	decisive_reason	decisive_detail	z3_verdict	z3_ms	cvc5_verdict	cvc5_ms
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8261_safety_0.smt2	sat	110563	2017	12	7	unknown	Timeout	24142	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	6216	sat	12919
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8434_safety_0.smt2	sat	119745	2017	12	7	unknown	Timeout	24134	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	1011	sat	3111
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8651_safety_0.smt2	sat	31357	2017	12	7	unknown	Timeout	24136	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	1212	sat	1009
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8809_safety_0.smt2	sat	147263	2017	12	7	unknown	Timeout	24136	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	2612	sat	12420
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8992_safety_0.smt2	sat	140461	2017	12	7	unknown	Timeout	24130	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	8220	sat	6713
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p9188_safety_0.smt2	sat	73340	2017	12	7	unknown	Timeout	24135	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	612	timeout	27216
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateContainsAll.jar-obl-11__terminationS_0_0.smt2	unsat	764266	2017	12	7	unknown	Timeout	24636	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24141	timeout	29502
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__mirrorInterv_rec.jar-obl-8__p10955_edge_closing_0.smt2	sat	16791	2017	12	7	unknown	Timeout	24132	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24033	timeout	31504
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__whileNested_rec.jar-obl-9__p14976_terminationG_0.smt2	unsat	5325	2017	12	7	unknown	Timeout	24135	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24034	timeout	31688
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__afagp-fail.t2__p15482_terminationG_0.smt2	unknown	70898	50001	17	2	unknown	EncodingBudget	11523	estimated 125751234 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 125751234 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24033	timeout	30165
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__agafp.t2_fixed__terminationS_0_0.smt2	unsat	44503	200006	19	2	unknown	Timeout	24236	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	22537	timeout	26434
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__apchild-accepted.t2__p16321_terminationG_0.smt2	sat	874580	50001	17	2	unknown	EncodingBudget	7719	estimated 1695104115 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 1695104115 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24130	timeout	26398
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__apchild-live.t2_fixed__p16479_terminationG_0.smt2	sat	512385	2017	12	7	unknown	Timeout	24533	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	3314	timeout	27452
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__apchildlive-succeed.t2_fixed__p16399_edge_closing_0.smt2	unknown	3586869	5001	14	5	unknown	EncodingBudget	21930	estimated 4370349378 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 4370349378 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24138	timeout	29534
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__broydn.c.i.broydn.pl.t2.fixed.t2__term_unfeasibility_3_0.smt2	sat	93533	2017	12	7	unknown	Timeout	24137	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	14321	timeout	30614
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__byron-4.t2__p17594_terminationG_0.smt2	unknown	16977	50001	17	2	unknown	Timeout	24232	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24031	timeout	26365
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__consts1nt.t2__p17935_terminationG_0.smt2	unsat	3547	50001	17	2	unsat	-	4915		nia-linearize			unsat	1011	unsat	111
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__consts5nt.t2__p18457_edge_closing_0.smt2	sat	20172	4000	13	6	unknown	Timeout	24142	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	3114	timeout	26380
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__db2.t2_fixed__terminationS_29_0.smt2	unsat	238497	2017	12	7	unknown	Timeout	24236	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	2312	timeout	27513
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__disj_nightmare.t2__p18944_edge_closing_0.smt2	sat	110997	2017	12	7	unknown	Timeout	24336	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	1011	timeout	26358
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p20109_safety_0.smt2	sat	14927	2017	12	7	sat	-	6619		nia-linearize			sat	613	timeout	26463
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p20676_safety_0.smt2	sat	17470	2017	12	7	sat	-	6518		nia-linearize			sat	2212	timeout	26357
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__efegp.t2__p21963_edge_closing_0.smt2	sat	49211	5365	14	5	unknown	Timeout	24132	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	8817	sat	8915
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex19.t2__p22319_terminationG_0.smt2	unknown	4796	2017	12	7	unknown	Timeout	24139	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	2012	timeout	27486
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p26914_safety_0.smt2	sat	13667	12771	15	4	sat	-	9121		nia-linearize			sat	511	sat	709
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p28763_safety_0.smt2	sat	11831	12771	15	4	sat	-	8218		nia-linearize			sat	1810	sat	609
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p29986_safety_0.smt2	unsat	8026	12537	15	4	unknown	Timeout	24133	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	1313	unsat	306
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31135_safety_0.smt2	sat	12468	12771	15	4	sat	-	9821		nia-linearize			sat	911	sat	307
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31933_safety_0.smt2	unknown	16778	12537	15	4	unknown	Timeout	24132	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24031	timeout	28262
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2_fixed__p23563_safety_0.smt2	sat	5351	11511	15	4	sat	-	9822		nia-linearize			sat	1116	sat	108
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__firewire.t2__terminationS_13_0.smt2	unsat	164658	50001	17	2	unknown	EncodingBudget	7118	estimated 282490206 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 282490206 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24132	timeout	29154
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__foo.t2__terminationS_32_0.smt2	unsat	1312666	2017	12	7	unknown	EncodingBudget	24231	estimated 2930944950 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24132	timeout	29448
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun1.t2_fixed__p697_terminationG_0.smt2	sat	534653	2017	12	7	unknown	Timeout	24432	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24039	timeout	26351
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun1b.t2__terminationS_11_0.smt2	unsat	395316	2017	12	7	unknown	Timeout	24233	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	10219	timeout	26255
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun7.t2__p1152_terminationG_0.smt2	sat	168138	2017	12	7	unknown	Timeout	24341	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24033	timeout	27185
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun9.t2__p1346_edge_closing_0.smt2	sat	40180	2017	12	7	unknown	Timeout	24134	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	3014	timeout	28236
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun9.t2__p1480_edge_closing_0.smt2	sat	29849	2017	12	7	unknown	Timeout	24132	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	2914	timeout	28242
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.fixed.t2_fixed__terminationS_36_0.smt2	unsat	226397	2017	12	7	unknown	Timeout	24234	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	6817	unsat	22228
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.nor.t2.rlgfixed.t2_fixed__terminationS_45_0.smt2	unsat	221316	2017	12	7	unknown	Timeout	24233	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24032	timeout	26425
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.t2_fixed__terminationS_36_0.smt2	unsat	222685	2017	12	7	unknown	Timeout	24237	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	9419	timeout	26415
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__janne_complex.t2__p2263_terminationG_0.smt2	sat	81231	50001	17	2	unknown	EncodingBudget	9723	estimated 168816888 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 168816888 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24033	timeout	27459
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__mc91.t2__p2846_terminationG_0.smt2	unknown	40765	50001	17	2	unknown	Timeout	24331	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24035	timeout	28473
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__mc91test.t2__p3142_terminationG_0.smt2	sat	199934	2017	12	7	unknown	Timeout	24234	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24033	timeout	30023
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__n-10.t2__p3427_edge_closing_0.smt2	sat	29841	2017	12	7	unknown	Timeout	24135	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	4216	timeout	26395
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__n-21.t2__p3959_terminationG_0.smt2	unsat	13518	50001	17	2	unknown	Timeout	24130	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	1312	unsat	510
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__n-40.t2__p4304_terminationG_0.smt2	unknown	70495	50001	17	2	unknown	EncodingBudget	6818	estimated 148252557 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 148252557 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24131	timeout	27202
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__n-5.t2__p4694_edge_closing_0.smt2	sat	86719	2017	12	7	unknown	Timeout	24135	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	3016	timeout	28729
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__n-7.t2__p5005_terminationG_0.smt2	unknown	14634	50001	17	2	unknown	Timeout	24235	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24032	timeout	27687
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__n-7.t2_fixed__p4922_terminationG_0.smt2	unsat	8033	50001	17	2	unknown	Timeout	24133	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	1316	unsat	310
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__nakata.t2__p5351_edge_closing_0.smt2	sat	752122	50001	17	2	unknown	EncodingBudget	9917	estimated 1745710104 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 1745710104 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24033	timeout	26462
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__p-43-terminate.t2__term_unfeasibility_1_0.smt2	unsat	37280	2017	12	7	unknown	Timeout	24131	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	1815	unsat	2913
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__pentagon.t2__p7110_edge_closing_0.smt2	unknown	22426	2017	12	7	unknown	Timeout	24134	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24131	timeout	26380
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__polling.t2_fixed__p7335_terminationG_0.smt2	sat	276289	3942	13	6	unknown	Timeout	24328	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	6215	timeout	26365
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ppblock.t2__p7749_edge_closing_0.smt2	sat	55110	50004	17	2	unknown	EncodingBudget	8117	estimated 137463183 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 137463183 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24131	timeout	26866
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__queens.t2__term_unfeasibility_1_0.smt2	sat	49848	2017	12	7	unknown	Timeout	24131	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	2713	sat	12016
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__rlft3.c.i.rlft3.pl.t2.fixed.t2__p8813_terminationG_0.smt2	unknown	39580	200011	19	2	unknown	Timeout	24537	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	10320	timeout	26365
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__rlft3.t2__p9106_terminationG_0.smt2	unknown	75739	100004	18	2	unknown	EncodingBudget	7117	estimated 160224396 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 160224396 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24133	timeout	26373
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2__p12578_safety_0.smt2	unknown	8599	10743	15	4	unknown	Timeout	24133	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24027	timeout	26377
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2__p13494_safety_0.smt2	sat	116903	11590	15	4	unknown	Timeout	24129	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24029	timeout	27797
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2__p14253_safety_0.smt2	sat	117509	11590	15	4	unknown	Timeout	24134	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	10119	sat	4813
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2_fixed__p10157_safety_0.smt2	sat	65797	9979	15	4	unknown	Timeout	24133	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	2112	timeout	26413
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2_fixed__p10785_safety_0.smt2	sat	116371	9979	15	4	unknown	Timeout	24131	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	8115	timeout	26549
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2_fixed__p11698_safety_0.smt2	unsat	5430	9276	15	4	unknown	Timeout	24131	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	combined-theory timeout after scalar backend	unsat	2211	unsat	709
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p18409_safety_0.smt2	unsat	6205	10743	15	4	unknown	Timeout	24129	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	1010	unsat	1511
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p19291_safety_0.smt2	sat	102588	11590	15	4	unknown	Timeout	24125	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	608	sat	3014
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p20015_safety_0.smt2	sat	120963	11590	15	4	unknown	Timeout	24129	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	1208	sat	3312
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p15159_terminationG_0.smt2	sat	366257	2017	12	7	unknown	Timeout	24328	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	3113	timeout	27237
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p16687_safety_0.smt2	unknown	8704	9276	15	4	unknown	Timeout	24129	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24029	timeout	28549
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__sas2.t2__terminationQ_2_0.smt2	sat	57708	50001	17	2	unknown	EncodingBudget	10516	estimated 117393672 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 117393672 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	sat	9419	timeout	29124
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3-filtered.t2__p21659_terminationG_0.smt2	unknown	211737	50001	17	2	unknown	EncodingBudget	7613	estimated 325583043 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 325583043 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24032	timeout	26258
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3-new.t2__p21995_terminationG_0.smt2	unknown	523469	180279	19	2	unknown	EncodingBudget	8615	estimated 820809771 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 820809771 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24130	timeout	27266
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3.t2__p22227_terminationG_0.smt2	unknown	355425	203030	19	2	unknown	EncodingBudget	8316	estimated 533361651 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	int-blast-ladder	budget	estimated 533361651 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	other	24131	timeout	26388
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3.t2_fixed__terminationS_31_0.smt2	unsat	321238	2017	12	7	unknown	Timeout	24232	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	20035	timeout	26356
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-4-filtered.t2__p22683_terminationG_0.smt2	sat	542507	148073	19	2	unknown	Timeout	24532	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24131	timeout	26255
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-n1.t2_fixed__p22997_safety_0.smt2	unsat	31847	2017	12	7	unsat	-	8816		nia-linearize			unsat	811	unsat	511
